"","index","status","cust.Investment.Potential.Score","predictions"
"77",1077,"None",3.1,"None"
"78",1078,"None",2.9,"None"
"79",1079,"None",2.6,"None"
"80",1080,"A",3.2,"None"
"81",1081,"None",3,"None"
"82",1082,"B",3.5,"None"
"83",1083,"None",2.6,"A"
"84",1084,"None",2.1,"None"
"85",1085,"None",3.5,"None"
"86",1086,"None",2,"None"
"87",1087,"None",4.5,"None"
"88",1088,"None",2.7,"None"
"89",1089,"None",3.1,"None"
"90",1090,"B",3.4,"None"
"91",1091,"None",3.7,"A"
"92",1092,"B",3,"None"
"93",1093,"None",3.2,"None"
"94",1094,"None",3.4,"None"
"95",1095,"A",3.8,"None"
"96",1096,"None",4.3,"None"
"97",1097,"None",3.2,"None"
"98",1098,"A",1.7,"None"
"99",1099,"A",2.7,"A"
"100",1100,"None",2.4,"None"
"101",1101,"None",3.6,"None"
"102",1102,"None",2.7,"None"
"103",1103,"None",3.2,"None"
"104",1104,"None",4.5,"None"
"105",1105,"A",2.9,"None"
"106",1106,"A",2.3,"None"
"107",1107,"None",3.3,"None"
"108",1108,"B",3.2,"None"
"109",1109,"None",3.4,"None"
"110",1110,"None",3.1,"None"
"111",1111,"None",3.7,"None"
"112",1112,"None",3.9,"None"
"113",1113,"None",3.8,"None"
"114",1114,"None",2.5,"None"
"115",1115,"None",3.2,"None"
"116",1116,"None",3.6,"None"
"117",1117,"None",3,"None"
"118",1118,"None",2.2,"None"
"119",1119,"None",3.5,"None"
"120",1120,"None",3.5,"None"
"121",1121,"None",2.4,"None"
"122",1122,"None",4.2,"None"
"123",1123,"A",3.6,"None"
"124",1124,"None",2,"None"
"125",1125,"B",3.9,"None"
"126",1126,"None",4.2,"None"
"127",1127,"A",4.3,"None"
"128",1128,"None",2.3,"None"
"129",1129,"None",2.4,"None"
"130",1130,"None",4.3,"None"
"131",1131,"None",4.2,"A"
"132",1132,"None",4.3,"A"
"133",1133,"None",2.6,"None"
"134",1134,"B",2.9,"None"
"135",1135,"None",2.5,"None"
"136",1136,"A",3.2,"None"
"137",1137,"None",3.1,"None"
"138",1138,"None",4.6,"None"
"139",1139,"A",2.9,"None"
"140",1140,"A",4.2,"None"
"141",1141,"None",5.1,"None"
"142",1142,"None",5.1,"None"
"143",1143,"B",2.3,"None"
"144",1144,"None",2.8,"None"
"145",1145,"None",1.8,"None"
"146",1146,"None",2.5,"None"
"147",1147,"A",5.1,"None"
"148",1148,"None",3.1,"None"
"149",1149,"A",2.9,"None"
"150",1150,"A",3.5,"None"
"151",1151,"None",3.7,"None"
"152",1152,"None",5,"None"
"153",1153,"None",3.6,"None"
"154",1154,"None",2.5,"None"
"155",1155,"None",2.8,"None"
"156",1156,"None",4.2,"None"
"157",1157,"B",2.9,"None"
"158",1158,"None",2.4,"None"
"159",1159,"None",2.8,"None"
"160",1160,"None",3.9,"None"
"161",1161,"None",1.8,"None"
"162",1162,"None",4.4,"None"
"163",1163,"None",3.4,"None"
"164",1164,"None",2.5,"None"
"165",1165,"None",2.7,"None"
"166",1166,"None",2.3,"None"
"167",1167,"None",2.6,"A"
"168",1168,"None",4.1,"None"
"169",1169,"None",2.6,"None"
"170",1170,"None",4.9,"None"
"171",1171,"B",3.5,"B"
"172",1172,"None",3.8,"None"
"173",1173,"None",4.2,"None"
"174",1174,"None",5.6,"None"
"175",1175,"None",3.1,"None"
"176",1176,"A",3.1,"None"
"177",1177,"A",4.5,"None"
"178",1178,"None",4.8,"None"
"179",1179,"None",3.5,"None"
"180",1180,"None",2.4,"None"
"181",1181,"None",3.2,"None"
"182",1182,"None",4.6,"None"
"183",1183,"None",3.6,"None"
"184",1184,"None",2.5,"None"
"185",1185,"A",3.7,"None"
"186",1186,"None",2.5,"None"
"187",1187,"None",3.1,"A"
"188",1188,"None",3.5,"None"
"189",1189,"None",4.1,"None"
"190",1190,"None",2.3,"None"
"191",1191,"None",3.1,"None"
"192",1192,"None",2.4,"None"
"193",1193,"None",2.7,"None"
"194",1194,"A",2.7,"None"
"195",1195,"None",2.4,"None"
"196",1196,"None",4.2,"None"
"197",1197,"None",3.2,"None"
"198",1198,"None",2,"None"
"199",1199,"None",2.7,"None"
"200",1200,"None",4,"None"
"201",1201,"None",4.5,"None"
"202",1202,"None",3.4,"None"
"203",1203,"None",5.6,"None"
"204",1204,"None",3.5,"None"
"205",1205,"None",3,"None"
"206",1206,"None",2.9,"None"
"207",1207,"A",4.9,"None"
"208",1208,"None",4.8,"None"
"209",1209,"None",2.5,"None"
"210",1210,"None",2.4,"None"
"211",1211,"None",2.8,"None"
"212",1212,"None",3.9,"None"
"213",1213,"None",4.1,"None"
"214",1214,"None",5.7,"None"
"215",1215,"None",3.8,"None"
"216",1216,"None",3.2,"None"
"217",1217,"None",2.2,"None"
"218",1218,"None",5.8,"None"
"219",1219,"None",3.5,"None"
"220",1220,"None",2.7,"None"
"221",1221,"None",3.1,"None"
"222",1222,"None",3.6,"None"
"223",1223,"None",3.9,"None"
"224",1224,"None",3.4,"A"
"225",1225,"A",2.5,"None"
"226",1226,"None",3.2,"None"
"227",1227,"A",4,"None"
"228",1228,"None",2.9,"None"
"229",1229,"None",3.6,"None"
"230",1230,"None",1.8,"None"
"231",1231,"A",2.5,"A"
"232",1232,"None",3.5,"A"
"233",1233,"None",3,"A"
"234",1234,"None",3.5,"None"
"235",1235,"None",3.2,"None"
"236",1236,"A",2.9,"None"
"237",1237,"None",4.3,"None"
"238",1238,"A",2.9,"None"
"239",1239,"None",3,"None"
"240",1240,"None",2.2,"None"
"241",1241,"None",4.1,"None"
"242",1242,"None",2.8,"None"
"243",1243,"None",2.9,"None"
"244",1244,"None",3.9,"None"
"245",1245,"None",2.9,"A"
"246",1246,"None",4.2,"None"
"247",1247,"B",5,"None"
"248",1248,"A",2.4,"None"
"249",1249,"None",4.7,"None"
"250",1250,"None",2.4,"None"
"251",1251,"None",5.3,"None"
"252",1252,"None",2.6,"None"
"253",1253,"None",5.4,"None"
"254",1254,"None",3.5,"None"
"255",1255,"None",2,"None"
"256",1256,"None",2.6,"None"
"257",1257,"A",3,"None"
"258",1258,"None",3.2,"None"
"259",1259,"None",4.2,"None"
"260",1260,"B",3.7,"None"
"261",1261,"A",3.7,"None"
"262",1262,"None",3.3,"None"
"263",1263,"A",4.6,"None"
"264",1264,"None",2.7,"A"
"265",1265,"None",2.8,"None"
"266",1266,"A",3.4,"A"
"267",1267,"None",2.6,"None"
"268",1268,"None",4.5,"None"
"269",1269,"None",4.4,"None"
"270",1270,"None",4.5,"None"
"271",1271,"None",4.5,"None"
"272",1272,"None",2.8,"None"
"273",1273,"None",3.2,"None"
"274",1274,"None",3.2,"None"
"275",1275,"None",4.1,"None"
"276",1276,"None",3,"None"
"277",1277,"None",4.2,"None"
"278",1278,"None",4.1,"None"
"279",1279,"None",3.9,"None"
"280",1280,"None",4,"None"
"281",1281,"None",2.3,"None"
"282",1282,"None",4.4,"None"
"283",1283,"None",2.6,"None"
"284",1284,"None",3.9,"None"
"285",1285,"None",2.9,"None"
"286",1286,"None",2.8,"A"
"287",1287,"None",3.8,"None"
"288",1288,"A",2.5,"None"
"289",1289,"None",3.9,"None"
"290",1290,"None",3.2,"None"
"291",1291,"A",3.4,"None"
"292",1292,"None",2.8,"None"
"293",1293,"None",3.2,"None"
"294",1294,"A",2.3,"None"
"295",1295,"None",3.9,"None"
"296",1296,"None",2.3,"None"
"297",1297,"A",3.5,"None"
"298",1298,"A",3.7,"None"
"299",1299,"A",3.3,"A"
"300",1300,"None",2.8,"None"
"301",1301,"None",3.1,"None"
"302",1302,"None",2.7,"None"
"303",1303,"None",2.5,"None"
"304",1304,"None",2.8,"None"
"305",1305,"None",2.2,"None"
"306",1306,"None",3.2,"None"
"307",1307,"None",3.1,"None"
"308",1308,"None",3.8,"None"
"309",1309,"None",4.2,"A"
"310",1310,"None",4.2,"None"
"311",1311,"None",4.1,"None"
"312",1312,"None",2.6,"None"
"313",1313,"None",3.8,"None"
"314",1314,"None",2.5,"None"
"315",1315,"B",2.8,"None"
"316",1316,"None",2.8,"None"
"317",1317,"None",2.8,"None"
"318",1318,"None",2.4,"None"
"319",1319,"B",3.5,"None"
"320",1320,"None",3.9,"None"
"321",1321,"None",2.6,"None"
"322",1322,"None",2.8,"None"
"323",1323,"None",4.5,"None"
"324",1324,"None",2.2,"None"
"325",1325,"None",2.7,"None"
"326",1326,"None",2.8,"None"
"327",1327,"A",4.4,"None"
"328",1328,"None",3.8,"None"
"329",1329,"None",3.2,"A"
"330",1330,"None",2.8,"None"
"331",1331,"None",2.6,"None"
"332",1332,"None",3.9,"None"
"333",1333,"None",3.6,"None"
"334",1334,"None",3,"None"
"335",1335,"None",4.6,"A"
"336",1336,"None",6.5,"None"
"337",1337,"None",2.6,"None"
"338",1338,"A",4.7,"None"
"339",1339,"A",4.4,"None"
"340",1340,"None",3.1,"None"
"341",1341,"None",3.1,"None"
"342",1342,"None",3.9,"None"
"343",1343,"A",2.9,"None"
"344",1344,"None",3.2,"None"
"345",1345,"None",2.5,"None"
"346",1346,"None",1.7,"None"
"347",1347,"None",2.3,"None"
"348",1348,"None",2.9,"None"
"349",1349,"A",2.7,"A"
"350",1350,"None",4.3,"None"
"351",1351,"None",3.9,"None"
"352",1352,"None",2.9,"None"
"353",1353,"A",4.5,"None"
"354",1354,"None",3,"None"
"355",1355,"None",2.7,"A"
"356",1356,"None",2.6,"None"
"357",1357,"None",3.1,"None"
"358",1358,"None",3,"A"
"359",1359,"B",5,"None"
"360",1360,"A",2.5,"None"
"361",1361,"None",3.8,"None"
"362",1362,"None",4.9,"None"
"363",1363,"None",2.2,"None"
"364",1364,"None",3.6,"None"
"365",1365,"None",3,"None"
"366",1366,"None",2.9,"None"
"367",1367,"None",2.8,"A"
"368",1368,"A",2.9,"None"
"369",1369,"None",3.4,"A"
"370",1370,"None",3.3,"None"
"371",1371,"None",2.7,"None"
"372",1372,"None",2.5,"None"
"373",1373,"A",4.4,"None"
"374",1374,"None",3.8,"None"
"375",1375,"None",3.6,"None"
"376",1376,"None",2.8,"None"
"377",1377,"None",3.3,"None"
"378",1378,"None",4.1,"None"
"379",1379,"None",2.9,"None"
"380",1380,"None",2.6,"None"
"381",1381,"None",1.6,"None"
"382",1382,"None",3.3,"None"
"383",1383,"None",2.6,"None"
"384",1384,"None",3.6,"B"
"385",1385,"A",3.2,"None"
"386",1386,"None",4,"A"
"387",1387,"None",3,"None"
"388",1388,"None",2.3,"None"
"389",1389,"None",3.9,"None"
"390",1390,"None",3.9,"None"
"391",1391,"None",3.2,"None"
"392",1392,"None",4.7,"None"
"393",1393,"B",2.8,"None"
"394",1394,"None",3.6,"None"
"395",1395,"None",2.9,"A"
"396",1396,"None",4.1,"None"
"397",1397,"None",4,"None"
"398",1398,"None",3.8,"None"
"399",1399,"None",3.9,"A"
"400",1400,"None",3.3,"None"
"401",1401,"None",3.2,"None"
"402",1402,"None",4.4,"None"
"403",1403,"None",3.7,"None"
"404",1404,"None",3.7,"None"
"405",1405,"A",3.5,"None"
"406",1406,"A",2.3,"None"
"407",1407,"None",6,"None"
"408",1408,"None",2.4,"A"
"409",1409,"None",4.8,"None"
"410",1410,"None",1.8,"None"
"411",1411,"None",2.4,"None"
"412",1412,"None",2.2,"A"
"413",1413,"A",2.9,"None"
"414",1414,"None",2.9,"None"
"415",1415,"None",3.5,"None"
"416",1416,"None",3.6,"None"
"417",1417,"None",5.1,"None"
"418",1418,"A",3.3,"None"
"419",1419,"None",2.5,"None"
"420",1420,"None",2.7,"None"
"421",1421,"None",3.4,"None"
"422",1422,"A",2.6,"None"
"423",1423,"None",2.6,"None"
"424",1424,"None",3.5,"None"
"425",1425,"None",3,"None"
"426",1426,"None",2.8,"None"
"427",1427,"None",3,"None"
"428",1428,"None",2.9,"None"
"429",1429,"None",4.7,"None"
"430",1430,"None",3.1,"None"
"431",1431,"None",3.1,"None"
"432",1432,"None",3,"None"
"433",1433,"None",5,"None"
"434",1434,"None",2.1,"None"
"435",1435,"None",2.8,"None"
"436",1436,"None",3.1,"None"
"437",1437,"A",2.8,"A"
"438",1438,"None",2.8,"None"
"439",1439,"None",3.7,"None"
"440",1440,"None",3.3,"None"
"441",1441,"A",3,"None"
"442",1442,"A",2.5,"None"
"443",1443,"None",3.5,"None"
"444",1444,"None",2,"None"
"445",1445,"None",1.9,"None"
"446",1446,"None",2.8,"None"
"447",1447,"A",3.1,"None"
"448",1448,"None",5.3,"None"
"449",1449,"None",3.5,"None"
"450",1450,"None",2.7,"B"
"451",1451,"None",3.8,"None"
"452",1452,"None",2.1,"None"
"453",1453,"None",2,"None"
"454",1454,"None",3,"None"
"455",1455,"None",2.9,"None"
"456",1456,"None",2.8,"None"
"457",1457,"None",4.2,"None"
"458",1458,"None",3,"None"
"459",1459,"B",3.2,"None"
"460",1460,"None",2.2,"A"
"461",1461,"None",3.9,"None"
"462",1462,"None",5.1,"None"
"463",1463,"None",3.6,"None"
"464",1464,"None",4.1,"None"
"465",1465,"A",2.7,"None"
"466",1466,"None",3.1,"None"
"467",1467,"None",3.8,"None"
"468",1468,"None",2.8,"None"
"469",1469,"None",3.4,"None"
"470",1470,"B",4.3,"None"
"471",1471,"None",2.8,"A"
"472",1472,"None",3.8,"None"
"473",1473,"None",4.3,"None"
"474",1474,"None",3.1,"None"
"475",1475,"None",3,"None"
"476",1476,"A",2.4,"None"
"477",1477,"None",3.8,"None"
"478",1478,"None",3.6,"None"
"479",1479,"None",3.3,"A"
"480",1480,"None",3.5,"None"
"481",1481,"None",4.9,"None"
"482",1482,"None",3.8,"None"
"483",1483,"A",3.8,"None"
"484",1484,"None",5.1,"None"
"485",1485,"None",3.6,"None"
"486",1486,"None",3.8,"None"
"487",1487,"None",2.8,"A"
"488",1488,"B",3.9,"None"
"489",1489,"None",2.4,"None"
"490",1490,"None",3.5,"None"
"491",1491,"A",3.3,"None"
"492",1492,"None",4.7,"None"
"493",1493,"None",4.4,"None"
"494",1494,"None",4.2,"None"
"495",1495,"None",2.7,"None"
"496",1496,"None",2.9,"A"
"497",1497,"B",3.3,"B"
"498",1498,"None",3.2,"None"
"499",1499,"None",2.5,"None"
"500",1500,"A",3.6,"None"
"501",1501,"A",2.4,"None"
"502",1502,"None",3.8,"None"
"503",1503,"None",2.9,"None"
"504",1504,"A",3.5,"None"
"505",1505,"None",3.9,"None"
"506",1506,"A",5.8,"None"
"507",1507,"None",2.6,"None"
"508",1508,"A",2.9,"None"
"509",1509,"None",2.5,"None"
"510",1510,"None",3.1,"None"
"511",1511,"None",5.1,"None"
"512",1512,"None",3.9,"None"
"513",1513,"None",4.4,"None"
"514",1514,"None",3.2,"None"
"515",1515,"None",4.6,"None"
"516",1516,"None",4.2,"None"
"517",1517,"None",4,"None"
"518",1518,"None",2.9,"None"
"519",1519,"None",1.9,"None"
"520",1520,"A",2.9,"None"
"521",1521,"A",4,"None"
"522",1522,"None",2.3,"None"
"523",1523,"None",3.7,"None"
"524",1524,"None",3.2,"None"
"525",1525,"None",3.2,"None"
"526",1526,"None",4.9,"None"
"527",1527,"None",3.7,"None"
"528",1528,"None",3.4,"None"
"529",1529,"A",4,"None"
"530",1530,"None",3.8,"None"
"531",1531,"None",2.6,"A"
"532",1532,"None",2.9,"None"
"533",1533,"None",3.2,"None"
"534",1534,"None",3.1,"None"
"535",1535,"None",3.9,"None"
"536",1536,"None",3.2,"None"
"537",1537,"None",4,"None"
"538",1538,"A",4.5,"None"
"539",1539,"None",3.5,"None"
"540",1540,"None",2.2,"None"
"541",1541,"None",2.5,"None"
"542",1542,"None",3,"None"
"543",1543,"B",3.8,"None"
"544",1544,"B",3.2,"None"
"545",1545,"None",3.9,"None"
"546",1546,"None",2.8,"None"
"547",1547,"None",2.9,"None"
"548",1548,"None",4.6,"None"
"549",1549,"None",6.4,"None"
"550",1550,"None",2.9,"None"
"551",1551,"None",2.1,"None"
"552",1552,"None",4.9,"None"
"553",1553,"None",4,"None"
"554",1554,"None",2.4,"None"
"555",1555,"None",2.8,"None"
"556",1556,"None",2.8,"None"
"557",1557,"None",3.4,"None"
"558",1558,"B",4.1,"None"
"559",1559,"None",3.7,"None"
"560",1560,"None",3.2,"None"
"561",1561,"None",3.2,"None"
"562",1562,"None",1.9,"None"
"563",1563,"None",2.2,"None"
"564",1564,"B",4,"None"
"565",1565,"None",3.7,"None"
"566",1566,"None",1.8,"None"
"567",1567,"None",2.3,"None"
"568",1568,"None",2.5,"None"
"569",1569,"None",3.5,"None"
"570",1570,"None",3.9,"None"
"571",1571,"None",3.2,"None"
"572",1572,"A",2.9,"None"
"573",1573,"None",2.8,"None"
"574",1574,"None",4.1,"None"
"575",1575,"None",2.7,"A"
"576",1576,"None",2.8,"None"
"577",1577,"A",2.9,"None"
"578",1578,"None",2.9,"None"
"579",1579,"None",4,"None"
"580",1580,"None",4.8,"None"
"581",1581,"None",4.9,"A"
"582",1582,"B",4.5,"None"
"583",1583,"None",4.8,"None"
"584",1584,"None",4.8,"None"
"585",1585,"None",3,"None"
"586",1586,"None",3.2,"None"
"587",1587,"None",2.7,"None"
"588",1588,"None",2.6,"None"
"589",1589,"None",4,"None"
"590",1590,"None",4.4,"None"
"591",1591,"None",2.6,"None"
"592",1592,"None",3.5,"None"
"593",1593,"None",4.3,"None"
"594",1594,"None",2.7,"None"
"595",1595,"None",2.7,"None"
"596",1596,"None",3.7,"None"
"597",1597,"None",4.3,"None"
"598",1598,"None",3,"None"
"599",1599,"None",3.2,"None"
"600",1600,"None",2.6,"None"
"601",1601,"A",3.8,"None"
"602",1602,"None",3.3,"None"
"603",1603,"None",3.6,"None"
"604",1604,"None",2.6,"None"
"605",1605,"None",5.8,"None"
"606",1606,"None",3.3,"None"
"607",1607,"None",3,"None"
"608",1608,"None",3.7,"None"
"609",1609,"A",3.5,"None"
"610",1610,"None",3.8,"None"
"611",1611,"None",3.3,"None"
"612",1612,"None",3.1,"None"
"613",1613,"None",4.6,"None"
"614",1614,"None",2.9,"None"
"615",1615,"None",5.3,"None"
"616",1616,"None",3,"None"
"617",1617,"B",5.4,"None"
"618",1618,"B",3,"None"
"619",1619,"None",3.1,"None"
"620",1620,"None",3.6,"None"
"621",1621,"None",2.4,"None"
"622",1622,"B",4.2,"None"
"623",1623,"None",4,"A"
"624",1624,"None",3.5,"None"
"625",1625,"None",3.7,"None"
"626",1626,"None",2.7,"None"
"627",1627,"None",2.8,"None"
"628",1628,"None",3.8,"None"
"629",1629,"None",3.7,"None"
"630",1630,"None",2.6,"A"
"631",1631,"None",3.7,"None"
"632",1632,"None",3.1,"None"
"633",1633,"None",3.3,"None"
"634",1634,"B",3.6,"None"
"635",1635,"A",3.5,"None"
"636",1636,"None",2.8,"None"
"637",1637,"None",4.2,"None"
"638",1638,"None",2.7,"None"
"639",1639,"B",6.3,"None"
"640",1640,"None",2.8,"None"
"641",1641,"None",3.2,"B"
"642",1642,"A",3.3,"None"
"643",1643,"A",2.3,"None"
"644",1644,"None",2.9,"None"
"645",1645,"A",3.2,"None"
"646",1646,"None",3.3,"None"
"647",1647,"None",3.1,"None"
"648",1648,"None",3.2,"None"
"649",1649,"None",3.6,"None"
"650",1650,"None",2.2,"None"
"651",1651,"None",2.8,"None"
"652",1652,"None",4.2,"A"
"653",1653,"None",4.7,"None"
"654",1654,"None",3.6,"None"
"655",1655,"None",3.2,"None"
"656",1656,"A",2.9,"A"
"657",1657,"None",4.3,"None"
"658",1658,"A",4.3,"None"
"659",1659,"None",2.1,"None"
"660",1660,"A",3.6,"None"
"661",1661,"None",3,"None"
"662",1662,"None",3.6,"None"
"663",1663,"None",3.2,"None"
"664",1664,"None",4.6,"None"
"665",1665,"None",3.3,"None"
"666",1666,"None",2.7,"None"
"667",1667,"None",2.3,"None"
"668",1668,"None",3.9,"None"
"669",1669,"None",3.7,"None"
"670",1670,"None",2.6,"None"
"671",1671,"None",3.5,"None"
"672",1672,"None",2.6,"None"
"673",1673,"None",3.4,"None"
"674",1674,"None",3,"None"
"675",1675,"A",2.7,"A"
"676",1676,"None",3.4,"None"
"677",1677,"None",2.3,"None"
"678",1678,"None",3,"None"
"679",1679,"None",1.8,"None"
"680",1680,"None",3,"None"
"681",1681,"None",5,"None"
"682",1682,"None",2.8,"None"
"683",1683,"A",4.6,"None"
"684",1684,"None",3.6,"None"
"685",1685,"None",4.1,"None"
"686",1686,"A",3.5,"None"
"687",1687,"None",2.3,"None"
"688",1688,"None",2.9,"None"
"689",1689,"None",2.7,"None"
"690",1690,"None",4.9,"None"
"691",1691,"None",2.5,"None"
"692",1692,"None",3.4,"None"
"693",1693,"None",2.5,"None"
"694",1694,"None",3.5,"None"
"695",1695,"None",3.3,"None"
"696",1696,"None",3.2,"None"
"697",1697,"None",3.9,"None"
"698",1698,"A",4.1,"A"
"699",1699,"None",3.5,"None"
"700",1700,"None",2.7,"None"
"701",1701,"B",3.9,"None"
"702",1702,"None",2.1,"None"
"703",1703,"None",3.1,"None"
"704",1704,"None",3.8,"None"
"705",1705,"None",3.8,"A"
"706",1706,"None",2.4,"None"
"707",1707,"None",2.7,"None"
"708",1708,"None",2.6,"None"
"709",1709,"None",2.8,"None"
"710",1710,"None",4.4,"None"
"711",1711,"None",2.8,"None"
"712",1712,"None",2.4,"None"
"713",1713,"A",2.1,"None"
"714",1714,"None",2.9,"None"
"715",1715,"None",3.4,"None"
"716",1716,"None",3.2,"None"
"717",1717,"A",1.7,"A"
"718",1718,"None",2.6,"None"
"719",1719,"B",2.9,"None"
"720",1720,"B",4.4,"None"
"721",1721,"None",2.7,"None"
"722",1722,"None",2.6,"None"
"723",1723,"None",2.3,"None"
"724",1724,"None",2.9,"None"
"725",1725,"None",3.4,"None"
"726",1726,"None",4.9,"None"
"727",1727,"None",3.2,"None"
"728",1728,"B",5,"None"
"729",1729,"None",2.9,"None"
"730",1730,"None",3.7,"None"
"731",1731,"None",4.7,"None"
"732",1732,"None",6.7,"None"
"733",1733,"None",2.9,"None"
"734",1734,"None",4.8,"None"
"735",1735,"None",2.5,"None"
"736",1736,"None",2.8,"None"
"737",1737,"None",3,"None"
"738",1738,"None",2.7,"None"
"739",1739,"None",2.7,"None"
"740",1740,"B",4.5,"None"
"741",1741,"None",3.7,"None"
"742",1742,"None",3,"None"
"743",1743,"None",3.4,"None"
"744",1744,"A",4.1,"None"
"745",1745,"None",2.7,"None"
"746",1746,"None",4.2,"None"
"747",1747,"None",3,"None"
"748",1748,"None",3.8,"None"
"749",1749,"None",3.8,"None"
"750",1750,"None",3.5,"None"
"751",1751,"None",3.7,"None"
"752",1752,"None",4.3,"None"
"753",1753,"None",2.9,"None"
"754",1754,"None",3.2,"None"
"755",1755,"None",3.5,"None"
"756",1756,"B",2.9,"None"
"757",1757,"None",4.4,"None"
"758",1758,"None",2.5,"None"
"759",1759,"None",3.1,"None"
"760",1760,"None",3.1,"None"
"761",1761,"B",4.5,"B"
"762",1762,"A",2.5,"None"
"763",1763,"None",3.4,"None"
"764",1764,"None",2.1,"None"
"765",1765,"None",2.3,"None"
"766",1766,"None",2.4,"None"
"767",1767,"None",2.6,"None"
"768",1768,"None",3.6,"None"
"769",1769,"None",3.8,"A"
"770",1770,"A",2.3,"None"
"771",1771,"None",4.5,"None"
"772",1772,"None",4.7,"None"
"773",1773,"None",3.4,"B"
"774",1774,"None",2.3,"None"
"775",1775,"None",3.6,"None"
"776",1776,"None",3.7,"None"
"777",1777,"None",4.6,"None"
"778",1778,"None",4.3,"B"
"779",1779,"None",2.8,"None"
"780",1780,"None",2.8,"None"
"781",1781,"None",2.9,"None"
"782",1782,"None",3.3,"None"
"783",1783,"None",2.7,"None"
"784",1784,"None",2.4,"None"
"785",1785,"A",3,"None"
"786",1786,"None",4.4,"None"
"787",1787,"None",3,"None"
"788",1788,"None",5.5,"None"
"789",1789,"None",2.7,"None"
"790",1790,"B",3.3,"None"
"791",1791,"None",2,"None"
"792",1792,"None",3.8,"None"
"793",1793,"A",2.7,"None"
"794",1794,"None",1.8,"None"
"795",1795,"None",2.7,"None"
"796",1796,"None",3.7,"None"
"797",1797,"None",2.8,"None"
"798",1798,"None",3.8,"None"
"799",1799,"A",3.9,"A"
"800",1800,"None",2.9,"None"
"801",1801,"None",2.8,"None"
"802",1802,"None",3.2,"None"
"803",1803,"A",2.4,"None"
"804",1804,"None",2.7,"None"
"805",1805,"None",2.5,"None"
"806",1806,"None",3.9,"None"
"807",1807,"None",2.8,"None"
"808",1808,"None",5,"None"
"809",1809,"None",4.6,"None"
"810",1810,"None",4.4,"None"
"811",1811,"None",3.3,"None"
"812",1812,"None",2.9,"None"
"813",1813,"None",3.2,"None"
"814",1814,"None",3,"None"
"815",1815,"None",2.9,"None"
"816",1816,"None",3.6,"None"
"817",1817,"None",2.9,"None"
"818",1818,"None",2.7,"None"
"819",1819,"None",2.7,"None"
"820",1820,"A",5.8,"None"
"821",1821,"B",3.7,"None"
"822",1822,"None",2.7,"None"
"823",1823,"None",3.1,"None"
"824",1824,"None",3,"None"
"825",1825,"None",3.8,"None"
"826",1826,"None",2.6,"None"
"827",1827,"None",2.4,"None"
"828",1828,"None",3.1,"None"
"829",1829,"None",3.1,"None"
