"","sex","mstatus","age","children","occupation","education","income","avbal","avtrans","decision"
"168",1,2,51,1,1,3,8848.081795,15891.695467,1711.705354,1
"169",1,3,26,0,6,4,6494.753852,26665.653418,2684.270769,2
"170",2,3,26,0,7,4,4322.605076,24782.478495,2511.44382,2
"171",2,4,80,0,9,4,3667.55,15010.56,665.02,3
"172",1,2,40,1,7,3,2327.967736,19613.932216,1358.202376,1
"173",1,3,31,0,8,4,6908.85,18864.89,3231.41,3
"174",2,2,35,1,4,3,2490.72,17113.91,284.02,3
"175",1,3,23,0,5,3,3444.055803,10456.971196,696.904403,2
"176",2,3,46,0,8,1,7119.24,33107.69,4774.8,3
"177",2,2,32,2,7,3,2900.977111,19603.043199,1078.721234,1
"178",2,3,22,0,7,4,4653.929582,26300.869564,1864.284877,2
"179",2,3,24,0,8,4,10892.279759,29531.6978,2309.769245,2
"180",2,3,30,1,8,4,10232.7844,32589.285875,1836.42722,2
"181",2,3,22,0,7,4,4948.500936,23648.795847,1463.314789,2
"182",2,3,27,0,5,4,8574.295989,11645.941733,2036.105486,2
"183",2,3,42,0,3,3,1282,15890.52,1446.68,3
"184",1,3,28,0,3,1,9067.76,40767.69,3553.09,3
"185",1,3,28,3,1,4,11113.431552,51073.971931,3590.048431,2
"186",2,3,32,0,5,4,6000.39,24503.51,787.1,3
"187",2,3,27,0,5,4,7732.20886,11709.029361,1763.751158,2
"188",1,3,23,0,6,4,9582.737329,17654.236739,2435.603648,2
"189",1,3,24,0,7,3,3853.06,11865.44,712.75,3
"190",1,3,22,0,4,4,6830.904727,21983.819447,2539.241553,2
"191",1,2,40,1,7,1,11411.53,24844.95,1173.63,3
"192",2,1,64,0,2,3,1975.08,10945.61,497.65,3
"193",2,2,25,2,2,1,8578.81,40964.26,1154.56,3
"194",1,3,24,0,6,4,6652.733504,27780.773221,4474.4316,2
"195",2,3,29,0,8,4,10784.485186,32728.846283,1830.290201,2
"196",1,3,28,2,1,4,11221.019073,52322.359718,3317.440733,2
"197",1,3,28,0,2,3,3323.608287,17890.36428,380.87286,2
"198",1,3,22,0,5,3,3227.292844,10188.01553,768.787822,2
"199",1,3,27,0,6,4,6219.020568,26698.672009,2698.337476,2
"200",2,4,58,1,4,4,6009.9,21335.52,744.47,3
"201",1,3,19,0,7,4,5784.71,17111.17,2196.83,3
"202",2,3,27,0,8,4,11962.339029,30149.271087,2960.248657,2
"203",1,2,36,1,3,3,863.01479,15713.911821,858.83623,1
"204",2,3,33,0,7,1,11710.38,22848.83,3276.89,3
"205",1,2,62,2,4,3,2573.98,12465.27,673.91,1
"206",2,3,28,0,3,3,2509.43,21737.39,1027.04,3
"207",2,3,27,0,4,3,1522.26,10931.53,1162.29,3
"208",1,3,23,0,3,3,2161.05,13856.56,1200.11,3
"209",1,2,20,1,5,3,1427.85,19632.56,949.35,3
"210",1,2,60,0,5,4,3420.04,24980.83,3009.88,3
"211",1,3,27,0,6,4,6220.878577,26457.617944,2697.477999,2
"212",2,2,40,1,2,1,7843.23,25455.76,2704.42,3
"213",1,3,27,0,6,4,7696.252618,26144.251549,2621.834044,2
"214",1,3,26,0,6,4,6638.114139,27234.151779,3024.163257,2
"215",2,2,25,0,4,4,2768.89,5250.13,1852.5,3
"216",2,2,38,2,8,4,6911.05,27441.06,3315.73,3
"217",1,3,23,0,4,4,7026.094954,22520.547749,2135.65499,2
"218",2,2,23,1,3,4,3791.18,31456.42,1342.56,3
"219",1,3,28,0,1,4,11026.778256,48190.511042,2676.842828,2
"220",1,1,27,2,2,3,2035.53,11471.68,439.72,3
"221",1,2,36,2,6,4,9501.578029,28791.955608,4257.169822,1
"222",1,2,26,1,7,3,1535.98,12060.32,796.67,1
"223",1,3,24,0,6,4,12621.890229,17679.269015,3254.633526,2
"224",2,2,38,0,7,3,2162.07,8888.64,808.41,3
"225",1,2,39,1,3,1,11144.236443,33679.604546,5385.109671,1
"226",1,3,26,0,3,1,7689.36,33416.4,1990.2,3
"227",1,2,40,0,7,3,3154.09,16423.29,748.04,3
"228",2,3,28,0,5,4,6865.337555,13311.613537,1743.258743,2
"229",1,3,25,0,6,4,7827.705551,27378.17092,2755.202246,2
"230",1,1,25,0,7,1,9358.84,22671.85,2623.8,3
"231",2,3,41,0,8,3,3022.15,19926.25,1798.34,3
"232",2,3,22,0,7,4,4960.181232,23598.592733,1672.067647,2
"233",1,2,40,1,7,3,2382.524178,19712.167065,1389.289666,1
"234",1,4,63,1,3,1,8904.19,42256.39,3002.36,3
"235",1,2,47,2,6,4,3196.380141,24089.919439,1641.061139,1
"236",2,3,21,0,4,1,9983.88,24035.64,2787.52,3
"237",1,3,20,0,4,4,7626.056416,22662.543581,2246.511416,2
"238",1,3,44,0,2,3,1268.31,14855.89,684,3
"239",2,2,41,1,6,3,3803.47,20596.94,1690.89,3
"240",2,3,26,0,7,4,3768.50161,25266.963719,2482.951087,2
"241",1,2,40,2,6,4,3814.373264,24987.35274,2702.511412,1
"242",1,3,28,0,2,4,3884.28,33656.69,578.24,3
"243",1,2,44,1,1,1,7314.091061,12978.610441,1858.915709,1
"244",2,1,40,4,5,4,7747.57,21820.13,2569.67,3
"245",1,3,21,0,5,3,2884.811088,10109.296605,768.934036,2
"246",2,1,30,1,3,4,9646.94,32848.65,1905.73,2
"247",1,3,22,0,5,3,2856.607064,10041.321025,828.047949,2
"248",1,3,28,0,1,4,10723.781854,51478.15153,3234.62297,2
"249",2,3,28,0,7,3,2497.75,16218.84,457.62,3
"250",1,3,28,0,3,4,3011.28,24418.57,3522.56,3
"251",1,3,29,1,1,4,11085.245131,47856.916468,2672.614218,2
"252",2,3,26,0,8,4,11169.733078,30466.609202,2245.628995,2
"253",1,2,43,2,7,3,2225.887022,12546.256424,637.022408,1
"254",1,2,41,1,7,3,3826.66,19680.21,752.83,3
"255",1,3,27,0,7,3,2753.22,18800.92,413.78,3
"256",2,3,22,0,3,4,6052.6,26303.88,2001.31,2
"257",1,2,44,1,3,4,7418.336745,22913.163361,1922.871728,1
"258",1,2,44,1,4,3,2545.29,8967.41,915.71,3
"259",1,2,44,1,6,1,11093.345576,33018.255119,4008.072794,1
"260",1,2,28,2,6,3,3647.41,25342.83,2610.19,3
"261",1,2,63,0,4,4,3861.245538,21908.305511,899.595518,1
"262",2,4,65,1,9,1,2767.03,10176.98,1795.02,3
"263",2,2,35,1,7,3,4248.861608,8227.073127,1488.137645,1
"264",2,1,46,2,6,4,6234.92,18363.03,3940.24,3
"265",1,3,27,0,6,4,9199.310071,25797.789108,3414.285593,2
"266",2,4,43,0,3,3,1662.56,14508.79,1197.35,3
"267",1,3,25,1,4,4,7020.882069,21651.685553,2394.519975,2
"268",2,1,57,2,5,4,4981.25,22089.9,1953.66,3
"269",1,3,27,0,6,4,8413.640634,26186.264758,2614.062311,2
"270",1,2,57,1,3,3,2371.89,21955.26,1614.6,3
"271",2,2,36,2,2,4,3923.37,35158.51,1012.62,3
"272",2,3,20,0,7,4,4939.366984,23249.788292,1493.446747,2
"273",2,2,43,2,6,3,2574.35,20220.65,828.49,3
"274",1,2,39,2,7,4,4808.184565,32989.856682,1131.831397,1
"275",2,2,40,1,7,3,2968.141133,11421.674192,935.028816,1
"276",1,1,45,3,5,4,7370.43,21856.57,2041.91,3
"277",1,3,24,0,6,4,6668.333241,27530.758986,3167.634671,2
"278",2,2,60,0,2,3,2973.54,3234.87,1017.62,3
"279",1,3,28,2,6,3,6633.113249,19486.783929,1756.33983,2
"280",1,4,42,2,4,2,9992.22,45693.93,3760.8,3
"281",1,2,40,2,6,4,9138.763729,29809.097017,3563.545494,1
"282",1,2,26,0,5,4,9438.03569,25330.456104,1563.520746,1
"283",2,2,40,2,7,3,3127.874861,10437.241403,1159.464209,1
"284",1,2,31,1,7,4,3813.290695,34199.384383,1793.351984,1
"285",2,2,36,3,4,4,4805.870538,22507.010309,2416.109717,1
"286",1,2,46,1,1,1,8884.812862,14085.657501,2118.737483,1
"287",1,2,46,1,7,3,2538.816539,18175.362725,1056.517446,1
"288",2,3,28,0,5,4,6655.378276,12974.904037,1778.44814,2
"289",1,3,45,0,4,3,2441.51,14167.96,924.49,3
"290",1,4,60,0,4,1,8446.99,14132.2,1077.38,3
"291",1,3,23,0,2,3,2161.233487,16692.802932,572.191208,2
"292",1,3,26,0,1,4,11186.454248,37165.286252,1704.594097,2
"293",1,4,63,0,2,3,2250.01,16508.32,859.39,3
"294",1,2,46,2,6,4,2711.755529,28287.383201,1448.036927,1
"295",1,2,49,2,7,3,4812.31121,14076.362629,1627.174949,1
"296",1,3,25,0,2,3,2532.289595,16688.172009,527.519529,2
"297",2,3,25,0,7,4,3031.364139,24221.000325,2492.332769,2
"298",1,4,63,1,7,4,4996.87,26322.34,1427.11,3
"299",1,1,70,1,9,3,1833.28,16831.52,924.95,3
"300",2,2,38,4,3,3,2834.5,13840.58,1621.68,1
"301",2,2,24,3,1,2,3233.24,20215.56,1121.44,3
"302",2,3,18,0,2,4,2349.42,9989.01,1007.41,3
"303",1,2,50,0,3,3,511.38,7457.52,1153.44,3
"304",2,1,42,2,4,4,2485.13,23438.27,1462.45,3
"305",1,2,50,2,4,4,2601.39,27161.11,1472.24,1
"306",1,2,39,2,7,4,3435.083027,15867.012212,1078.785781,1
"307",1,2,41,2,6,4,3666.678559,24850.444549,2425.451926,1
"308",2,3,24,0,8,4,11200.732414,29404.901402,2149.489586,2
"309",2,3,21,0,7,4,4593.70773,24496.608693,2217.20143,2
"310",1,3,44,0,8,4,7058.44,41237.96,3912.06,3
"311",1,3,23,0,5,3,3225.454021,10364.270583,652.326355,2
"312",2,4,51,4,7,1,9310.84,25973.99,2505.14,3
"313",1,2,49,0,1,1,8152.595264,42060.303111,2712.042923,1
"314",1,2,57,1,5,3,931.115583,23376.304063,1943.768752,1
"315",1,2,40,1,7,4,7167.15,15068.04,1748.94,3
"316",1,3,28,0,6,4,6194.830939,25952.098348,2701.271879,2
"317",1,2,51,4,4,4,5259.4,19997,2231.66,3
"318",1,2,27,2,5,1,10538.86,29376.14,4191.19,1
"319",2,1,25,2,3,4,5477.83,22224.64,2056.67,3
"320",2,3,26,0,7,4,3997.588226,25118.267687,2482.781549,2
"321",2,2,39,2,7,3,4153.901151,15554.364141,1018.993844,1
"322",1,2,30,1,6,4,10347.441952,29986.663253,2853.298994,1
"323",1,2,36,2,6,4,3121.146511,31776.764627,2349.563452,1
"324",1,2,23,0,8,4,2971.169152,16984.44313,2073.28155,1
"325",2,3,28,0,7,2,12355.92,40883.6,2952.64,3
"326",2,3,27,0,7,2,8650.53,10467.77,3871.36,3
"327",1,4,81,0,9,1,4001.88,28406.52,1328.02,3
"328",2,1,61,3,3,3,1031.51,16002.24,2043.92,3
"329",1,3,24,0,6,4,11936.89,38085.24,1634.73,2
"330",1,2,41,2,7,3,2735.833041,18676.660761,1194.963491,1
"331",1,2,64,0,4,4,3532.75,24530.75,1575.74,3
"332",2,2,27,0,6,3,2464.51,20019.82,1554.69,3
"333",1,3,27,0,6,4,7693.565008,26145.154214,2628.490449,2
"334",2,2,63,1,9,3,2084.362638,9859.802111,784.639793,1
"335",1,2,42,0,4,4,5188.82,20342.63,1445.37,3
"336",2,2,42,0,7,3,3377.81,14205.2,652.55,3
"337",2,1,45,1,3,1,5378.92,21331.51,2838.42,3
"338",1,3,20,0,5,3,1924.727828,10029.980502,1012.341951,2
"339",1,2,44,1,1,1,7416.326064,13116.589399,2256.235399,1
"340",2,3,28,1,4,3,5162.679334,20129.874896,773.420439,2
"341",1,3,26,0,6,4,9162.085968,25803.090393,4004.81054,2
"342",2,2,44,3,7,3,2118.512352,16393.247136,539.372531,1
"343",2,3,25,0,8,4,10705.303699,28952.571861,2292.489535,2
"344",1,2,38,4,7,3,2792.794165,13399.080642,1503.785537,1
"345",1,2,28,2,8,2,10083.984839,63061.464149,3650.09017,1
"346",2,3,28,0,5,4,6368.270773,12479.669393,1854.99485,2
"347",1,2,41,1,7,4,5644.509016,35942.888372,1067.531884,1
"348",1,2,38,0,1,1,8942.734824,14754.166794,1866.035732,1
"349",1,3,26,0,7,4,11701.397881,35225.826525,1955.339937,2
"350",2,1,36,0,4,3,3009.45,2229.96,795.18,3
"351",1,3,27,0,6,4,9199.110306,25750.299456,3434.73204,2
"352",2,4,78,1,9,3,1457.01,10017.72,1085.73,3
"353",2,3,30,1,8,4,10307.946172,32454.13362,1792.278529,2
"354",2,3,35,0,3,2,10808.41,39125.43,5739.28,3
"355",1,3,27,0,8,4,7905.288567,27667.106922,2675.477165,2
"356",2,3,27,0,2,4,4121.55,19983.49,1102.11,3
"357",2,3,21,0,7,4,4954.669273,23655.756525,1700.004002,2
"358",1,2,42,2,7,3,2834.036079,18727.779098,1367.232843,1
"359",1,3,24,0,6,4,6757.071464,26249.592968,2685.554533,2
"360",1,1,46,0,7,3,3107.78,6307.33,804.89,3
"361",1,3,26,0,2,3,3862.660896,17464.962909,618.501994,2
"362",2,2,32,1,7,3,3880.48,11596.28,211.76,3
"363",2,3,28,0,8,4,13238.805492,29979.774572,3217.612039,2
"364",1,3,23,0,6,4,6951.643912,27675.871596,3310.253756,2
"365",1,1,51,1,2,1,4356.52,33630.3,913.01,3
"366",1,3,26,0,2,3,2616.863881,16458.858476,528.026997,2
"367",1,3,26,0,6,4,8894.662838,25784.953069,4122.493877,2
"368",1,3,24,0,2,3,2191.769451,16717.720099,559.055158,2
"369",1,3,27,2,1,4,11329.921204,50845.086853,3196.881401,2
"370",2,2,42,3,6,1,16069.965327,38086.783459,3689.066888,1
"371",1,3,22,0,5,3,3072.092757,10133.500841,738.930435,2
"372",1,2,42,1,8,3,2926.77,21391.2,1002.58,3
"373",1,3,27,0,7,1,8892.31,25245.63,2545.98,2
"374",2,2,25,3,3,4,3735.53,12715.07,3315.75,3
"375",1,3,21,0,4,4,7596.331451,22630.807797,2257.911128,2
"376",1,2,52,3,6,4,3808.597058,20131.142646,1563.37264,1
"377",1,3,27,0,6,4,8462.395222,26092.491614,2593.462514,2
"378",1,2,40,2,7,4,5804.391833,34941.326363,1377.327131,1
"379",1,3,26,0,8,4,7898.084125,27762.59464,2352.177107,2
"380",2,2,48,1,8,3,592.85,22844.59,1931.55,1
"381",1,3,22,0,5,3,3038.638462,10118.104179,732.502496,2
"382",1,3,27,0,6,4,6254.175312,26651.047183,2688.015961,2
"383",1,3,27,0,7,4,8467.163288,26125.144516,2586.458712,2
"384",2,3,29,0,3,4,5998.49,11741.35,2034.94,3
"385",2,1,52,2,5,3,1601.79,15974.7,805.82,3
"386",1,3,26,0,1,2,5376.51,27389.08,1150.8,3
"387",2,2,33,2,6,1,13455.799042,46303.993091,4110.388264,1
"388",1,3,27,0,1,4,10847.457794,50157.291151,2995.88626,2
"389",2,2,33,1,1,4,3875.63,20791.49,1077.71,3
"390",1,2,34,1,6,1,10132.823564,46776.784142,3477.020218,1
"391",1,2,38,1,4,3,2555.1,9076.67,883.13,3
"392",2,4,60,0,5,3,1797.91,23114.5,1548.9,3
"393",1,4,60,2,3,1,9080.6,28877.91,3018.18,3
"394",1,3,24,1,4,4,7022.893428,21673.611146,2458.966541,2
"395",2,2,64,0,1,3,2200.620804,15856.494412,1284.504461,1
"396",1,2,39,2,6,4,3660.267962,24935.119141,2433.347378,1
"397",1,2,30,0,4,1,8210.81,13904.08,2881.68,1
"398",2,2,30,0,7,2,10797.6,43840.12,2832.01,3
"399",1,1,33,1,5,4,4906.49,23105.66,1834.93,3
"400",1,2,39,1,4,1,8081.6,19182.55,2260.06,3
"401",1,2,31,2,2,3,2642.01,19508.46,966.06,1
"402",2,3,47,0,3,1,3285.71,19993.33,3407.56,3
"403",2,2,40,2,6,3,3621.7,17251.08,1817.26,3
"404",1,3,28,0,1,4,10953.871739,47865.526512,2878.23286,2
"405",1,2,41,2,7,4,5673.058259,35720.77177,1178.53611,1
"406",1,4,69,3,9,4,2869.38,14723.89,994.85,3
"407",1,2,60,2,7,3,3050.132081,12488.91445,770.508743,1
"408",1,3,24,0,2,3,4307.143852,17528.757792,596.69138,2
"409",1,3,27,0,6,4,7963.563359,26300.68303,2607.119966,2
"410",2,2,40,2,7,3,2320.77,19511.52,1260.93,1
"411",1,2,40,2,5,4,4768.816124,29948.71242,775.919304,1
"412",1,1,39,3,7,3,1770.34,20869.3,926.4,3
"413",2,3,19,0,7,4,4911.806009,23239.334924,1420.712431,2
"414",1,1,69,2,9,4,2441.06,14987.41,331.35,3
"415",1,1,41,2,3,4,7276.48,22529.93,2305,3
"416",2,2,43,3,6,1,16008.295965,37915.898106,3832.770844,1
"417",1,1,68,3,9,2,7723.52,19855.56,1013.21,3
