index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,
1036,1,4,51.91,2,4,4,3821.27,11009.15,1731.29,
1037,1,2,24.33,2,4,4,3140.78,14436.48,727.73,
1038,2,1,25.84,0,1,3,3140.78,14436.48,727.73,
1039,1,2,61.52,0,3,2,11608.79,27529.23,2803.96,
1040,2,3,87.86,1,9,4,4775.18,16048.79,1095.75,
1041,2,1,47.2,0,8,4,2511.49,41205.04,3674.55,
1042,2,2,63.95,1,1,4,2511.49,41205.04,3674.55,
1043,1,2,41,2,7,4,5882.28,33236.27,2404.76,
1044,1,3,53.53,1,3,4,3696.67,31597.47,2030.93,
1045,2,2,28.62,2,6,1,10001.84,40463.27,4705.42,
1046,1,2,27.25,0,3,1,10363.69,30011.8,4792.02,
1047,2,1,25.7,0,3,3,2300.29,7507.26,1306.82,
1048,1,4,41.09,3,7,1,10173.3,29034.73,2359.88,
1049,2,1,35.25,0,8,4,6787.24,31607.8,1482.03,
1050,2,4,44.15,2,4,4,2448.45,14296.98,1489.78,
1051,1,3,60.56,0,7,1,5043.22,21215.78,1901.43,
1052,2,2,41.55,1,7,4,4400.31,9098.7,2334.15,
1053,2,2,37.19,1,7,3,3794.78,13742.44,668.71,
1054,2,4,31.71,2,3,1,3457.01,43061.71,2874.29,
1055,2,1,28.32,0,4,4,5164.04,20171.69,1512.54,
1056,2,1,20.19,0,7,3,2470.18,8221.75,701.53,
1057,1,3,46.97,0,3,3,2856.62,17862.25,964.64,
1058,2,1,27.65,0,3,3,1485.15,18302.84,1628.46,
1059,1,2,69.45,1,9,1,4274.81,11767.95,1205.94,
1060,2,2,38.89,0,3,4,2518.25,15995.85,1753.27,
1061,2,1,27.47,0,4,3,2546.74,8551.27,1065.88,
1062,2,2,56.39,1,5,1,8985,32613.1,3017.52,
1063,2,2,40.35,2,1,2,8985,32613.1,3017.52,
1064,2,2,25.01,0,6,1,6721.91,39752.21,4669.36,
1065,1,1,21.99,0,6,4,10435.02,32261,2114.47,
1066,1,2,39.5,3,3,3,2115.99,20250.56,1091.68,
1067,2,1,44.25,0,4,4,5512.66,21851.12,1652.55,
1068,2,1,23.85,0,2,1,5178.71,27171.49,2113.25,
1069,1,1,29.45,0,2,3,1722.45,9766.38,477.09,
1070,2,3,64.53,0,8,4,9757.62,30369.69,2339.17,
1071,2,1,42.28,0,6,3,823.39,23554.03,1887.19,
1072,1,2,56.34,3,2,3,717.99,10665.95,558.68,
1073,1,1,27.47,0,7,3,2682,8870.39,812.8,
1074,1,4,41.05,1,5,4,6022.3,15732.71,2076.71,
1075,2,1,19.57,0,1,3,6022.3,15732.71,2076.71,
1076,1,2,64.85,1,7,1,7025.19,26392.47,1773.81,
1077,1,3,63.22,0,1,4,7025.19,26392.47,1773.81,
1078,2,2,46.7,3,2,4,4128.59,19146.88,1025.45,
1079,1,2,38.76,2,2,4,3714.42,2344.76,1352.63,
1080,2,2,33.04,1,7,3,4060.18,15765.31,1352.39,
1081,2,3,40.48,3,1,3,4060.18,15765.31,1352.39,
1082,2,1,28.13,0,3,4,5609.16,17401.46,1975.51,
1083,1,2,61.49,4,2,4,2071.24,26933.42,923.83,
1084,1,3,71.15,1,9,3,1489.85,15936.9,1194.88,
1085,2,4,52.3,1,7,1,10423.65,30491.69,1317.09,
1086,1,4,68.15,2,9,4,2086.97,18038.5,436.78,
1087,2,1,33.29,0,5,2,6303.07,29884.66,3935.87,
1088,1,4,44.64,1,4,4,5800.79,5527.98,1259.48,
1089,2,2,39.78,2,4,4,6469.34,9863.62,1720.34,
1090,1,1,28,0,2,1,6174.21,12218.26,2193.1,
1091,2,2,39.45,2,5,4,3325.09,18041.64,3299.85,
1092,2,1,20.26,0,3,4,6102.69,22341.07,1224.25,
1093,1,4,39.74,1,3,3,3447.74,12460.92,2164.6,
1094,2,4,36.77,1,5,4,7298.83,14531.16,2065.24,
1095,2,2,43.38,2,6,4,5042.59,30002.48,2546.88,
1096,1,2,58.63,1,5,1,7369.69,30000.99,4744.91,
1097,2,1,42.63,0,6,3,3685.51,16319.85,1959.2,
1098,1,2,65.23,2,9,3,815.31,2514.72,1070.61,
1099,1,2,34.24,1,4,3,671.45,14609.19,316.64,
1100,2,1,44.1,0,1,1,671.45,14609.19,316.64,
1101,2,1,27.26,0,5,4,6454.63,17717.58,2407.97,
1102,1,1,20.53,0,3,3,1646.91,11257.29,1848.59,
1103,2,1,22.7,0,6,3,2724.04,28989.35,1066.84,
1104,1,1,34.89,0,4,2,10055.03,23369.83,4177.47,
1105,2,2,29.66,3,5,3,1639.9,15851.45,625.75,
1106,1,2,54.78,2,2,4,4002.82,5509.27,1000.95,
1107,1,1,27.75,0,7,4,5281.66,20313.6,1220,
1108,2,4,27.51,1,3,4,3206.99,21876.65,1170.31,
1109,2,2,39.96,1,7,1,7876.55,5999.7,2884.98,
1110,1,4,44.91,0,6,3,2649.62,19996.59,1812.93,
1111,1,2,40,0,5,4,4711.92,28707.77,2012.75,
1112,2,2,32.47,0,2,1,8229.94,25423.41,1979.44,
1113,1,2,43.7,1,5,1,9692.92,16321.04,3074.77,
1114,2,4,48.11,1,4,3,2806.84,9524.92,1193.19,
1115,1,2,52.21,1,4,4,5524.66,19966.96,2016.36,
1116,1,4,51.17,2,5,1,4502.67,35408.59,2029.54,
1117,1,4,36.63,0,7,4,6890.94,16934.71,601.91,
1118,2,3,78.71,0,9,1,4632.83,13983.99,825.03,
1119,1,1,31.77,0,5,4,6921.72,24737.1,1014.91,
1120,1,1,40.33,0,4,4,6934.11,20624.17,1888.15,
1121,2,2,69.84,0,9,2,5072.84,13190.52,1493.2,
1122,2,2,59.77,1,6,4,5956.76,47396.75,3322.03,
1123,2,2,58.95,2,8,4,6678.98,31147.1,2499.59,
1124,1,2,69.99,2,9,3,1896.38,11336.12,1001.25,
1125,1,1,27.1,0,7,1,4618.22,26163.65,2734.01,
1126,2,4,44.75,1,5,1,11948.27,20529.11,3794.51,
1127,2,2,29.12,0,4,1,6036.18,33301.53,3005.17,
1128,2,4,51.95,2,7,4,4568.48,4944.94,708.31,
1129,1,2,50.06,2,6,3,3032.63,10746.96,916.79,
1130,2,1,28.02,0,3,1,13743.95,21092.99,3199.76,
1131,2,2,40.28,2,1,4,13743.95,21092.99,3199.76,
1132,1,2,33.84,1,6,4,11339.01,41741.67,1517.41,
1133,2,1,27.82,0,2,3,2069.16,12715.72,120.21,
1134,1,1,20.68,0,5,4,6152.76,26369.21,531.72,
1135,1,1,29.54,0,2,3,1250.27,3421.17,591.57,
1136,2,2,51.88,1,3,4,6878.24,22124.52,1693.66,
1137,1,2,27.8,1,5,3,2541.34,15902.9,1208.05,
1138,2,2,62.59,2,4,2,11468.31,38589.88,4293.4,
1139,2,2,25.73,0,2,4,6420.61,11467.64,999.57,
1140,2,2,64.07,1,3,1,8793.84,45522.56,3020.4,
1141,2,4,43.71,0,3,2,10996.89,33996.53,5519.41,
1142,2,1,44.01,0,1,4,10996.89,33996.53,5519.41,
1143,1,1,19.68,0,7,3,1597.22,12988.13,374.86,
1144,1,1,34.87,0,4,3,4180.86,11787.38,544.22,
1145,1,4,69.67,0,9,3,1500,4537.55,1126.29,
1146,2,1,46.82,0,4,3,2648.01,12020.38,625.14,
1147,1,2,36.05,2,8,2,4459.5,30030.01,6121.81,
1148,2,4,44.31,1,7,1,9095.27,5296.32,2181.09,
1149,2,2,39.96,1,3,3,1880.32,9156.97,1907.24,
1150,1,2,38.63,1,6,3,4849.11,21474.9,2237.25,
1151,2,4,32.72,2,1,1,4849.11,21474.9,2237.25,
1152,2,4,45,0,8,2,8208.78,61163.17,3002.76,
1153,2,2,36.18,0,6,3,3012.38,26892.85,2086.99,
1154,1,2,40.4,0,7,3,1873.97,10906.54,479.49,
1155,1,1,28.56,0,5,3,3151.37,7171.9,1135.59,
1156,2,2,37.41,1,5,1,8939.97,19757.27,3758.76,
1157,1,1,27.68,0,2,3,1967.76,13973.39,1053.46,
1158,1,4,55.63,1,1,4,1967.76,13973.39,1053.46,
1159,1,1,21.38,0,3,3,1816.57,23355.86,729.3,
1160,2,4,45.74,1,6,4,6858.6,30434.56,2586.61,
1161,1,2,66.61,2,9,4,3411.5,4109.34,652.85,
1162,1,2,34.1,0,6,4,6962.65,34067.7,3023.38,
1163,1,1,34.38,0,5,4,3971.55,17515.48,1809.21,
1164,1,1,18.68,0,4,3,1706.07,14186.53,1033.9,
1165,1,4,52.14,2,5,3,2982.8,15822.45,1305.67,
1166,2,2,63.27,3,7,4,3442.76,11462.96,1346.93,
1167,1,2,52,1,1,2,3442.76,11462.96,1346.93,
1168,1,2,40.18,1,8,4,6160.52,31602.88,3035.38,
1169,2,1,47.29,0,5,3,1967.16,16993,825.4,
1170,1,2,34.85,1,7,2,7708.48,41568.87,3979.79,
1171,1,1,23.72,0,8,4,10310.93,21226.83,1876.78,
1172,1,2,39.08,0,5,4,5996.82,27205.74,2216.76,
1173,2,2,38.38,0,4,1,9811.59,25039.03,3054.94,
1174,1,3,46.72,0,6,2,11555.55,57829.06,4775.55,
1175,1,1,27.98,0,4,3,4168.83,12273.37,1394.05,
1176,2,2,38.24,2,6,3,2608.09,18379.8,1469.98,
1177,2,2,39.98,2,4,2,3674.39,31136.81,4721.18,
1178,2,4,47.79,1,3,2,11041.22,35395,4420.81,
1179,2,4,25.74,0,8,3,3435.42,28659.38,1651.99,
1180,1,2,58.34,1,3,3,2789.55,16110.84,1026.22,
1181,1,4,42.93,0,2,4,4931.24,31841.9,553.73,
1182,1,2,46.16,2,8,1,3918.2,61453.57,2631.45,
1183,2,1,31.65,0,2,4,2601.46,30915.39,1132.43,
1184,2,3,51.24,2,2,3,3128.14,11643.57,1169.01,
1185,2,2,57.16,2,4,1,10035.27,27399.24,2501.02,
1186,2,1,43.43,0,7,4,6181.22,1096.12,968.94,
1187,2,2,43.83,2,4,4,5110.32,17400.28,1514.89,
1188,2,3,59.85,1,3,4,6800.3,36211.61,1989.57,
1189,2,4,45.12,1,6,4,4527.92,29251.8,3797.1,
1190,1,3,76.18,2,9,4,2685.69,14980.35,1634.72,
1191,1,1,27.96,0,4,3,2503.29,19820.64,979.76,
1192,1,3,52.9,2,5,3,2204.81,16782.51,538.56,
1193,2,4,46.4,1,5,3,3372.78,13256.41,1196.34,
1194,2,2,21.44,4,1,1,3372.78,13256.41,1196.34,
1195,2,2,53.25,1,2,3,1974.96,11978.52,1010.51,
1196,1,2,36.96,0,5,1,9308.39,24851,3169.27,
1197,2,1,22.72,0,6,3,2969.15,25456.75,1387.8,
1198,2,4,67.9,2,9,4,2843.99,15828.03,413.59,
1199,1,4,49.26,2,2,3,2586.85,18401.18,980.51,
1200,2,1,47.31,0,8,4,5197.97,40131.55,2512.97,
1201,1,1,23.74,0,6,4,10296.07,34451.29,3842.95,
1202,2,1,26.21,0,4,4,5863.09,20889.18,1602.14,
1203,2,2,40.23,1,6,2,11787.53,54557.77,4837.99,
1204,1,1,29.55,0,2,4,4911.72,25524.16,1194.72,
1205,1,3,53.06,4,1,3,4911.72,25524.16,1194.72,
1206,1,4,62.41,2,5,4,6888.85,18804.25,1710.2,
1207,1,2,51.62,2,5,2,8264.78,42469.55,5004.01,
1208,1,3,54.06,2,7,2,10007.33,21911.73,6479.77,
1209,1,1,24.7,0,7,4,3515.89,791.21,1358.73,
1210,2,1,44.79,0,1,1,3515.89,791.21,1358.73,
1211,2,4,38.47,2,7,3,3199.64,12001.28,921.93,
1212,1,1,33.02,0,5,4,3850.28,31352.36,1976.96,
1213,1,1,42.78,0,8,4,4117.11,42270.38,2492.02,
1214,1,1,19.26,0,8,2,16160.29,60151.32,5292.73,
1215,1,1,28.06,0,4,1,4624.59,24274.72,2467.84,
1216,2,1,24.07,0,4,4,4336.19,20000.24,1505.45,
1217,2,2,58.55,0,2,3,1573.34,15550.77,823.67,
1218,2,2,35.42,2,7,2,14849.83,28545.83,6972.33,
1219,2,1,35.38,0,7,4,4027.21,35584.1,595.59,
1220,2,4,45.02,2,2,3,2136.26,19102.24,632.98,
1221,2,1,36.93,0,7,3,4374.42,21314.26,666.13,
1222,1,2,39.74,3,2,1,6003.54,24857.92,2112.91,
1223,2,4,46.92,1,5,1,7724.24,27358.08,3000.47,
1224,2,2,32.17,3,4,4,4899.36,19581.25,1275.82,
1225,2,2,45.57,1,5,3,1741.81,6693.95,1467.53,
1226,1,1,21.07,0,5,4,5563.72,30836.03,975.57,
1227,2,2,40.23,2,8,4,9182.73,24951.12,2795,
1228,1,2,23.69,0,3,3,2000.39,12614.53,1842.69,
1229,1,2,31.78,1,6,3,2998.91,26005.23,1727.04,
1230,1,3,68.83,0,9,3,1461.34,11336.94,361.95,
1231,2,2,38.16,1,1,4,1461.34,11336.94,361.95,
1232,1,2,34.98,1,8,3,3176.01,21446.58,2115.67,
1233,1,2,39.64,1,4,4,4267.17,20013.4,765.15,
1234,1,4,34.19,2,6,3,1085.8,23004.11,2180.35,
1235,2,4,44.72,1,2,1,8579.37,11179.03,2020.91,
1236,2,2,38.62,1,4,4,7268.12,10820.04,675.14,
1237,1,1,38.35,0,6,4,7245.41,25652.76,3826.85,
1238,1,2,40.05,0,4,3,2471.98,18882.66,768.87,
1239,2,1,30.18,0,4,3,2455.92,13916.42,806.91,
1240,2,4,52.46,0,4,3,2059.66,4444.23,989.99,
1241,1,1,30.95,0,4,1,8357.12,24785.76,2780.76,
1242,1,4,35,0,7,3,686.26,14686.15,908.43,
1243,1,2,32.1,0,1,1,686.26,14686.15,908.43,
1244,1,4,48.98,2,5,1,5462.79,21837.02,3996.01,
1245,1,2,51.6,2,8,3,2017,19970.42,1945.52,
1246,2,2,37.98,2,8,4,7085.67,38109.78,2373.53,
1247,1,1,27.58,0,8,1,10187.79,43593.55,4030.05,
1248,1,2,66.05,0,9,4,4070.26,18148.54,961.79,
1249,2,4,48.53,0,4,2,10041.75,36859.73,4200.68,
1250,1,4,46.34,3,2,3,2220.61,12113.68,323.11,
1251,2,4,49.19,2,5,2,15532.77,56301.27,3492.54,
1252,1,3,43.71,2,5,3,1958.49,17702.16,425.03,
1253,1,2,28.67,0,5,1,13812.96,47512.03,4061.13,
1254,2,2,44.75,0,6,3,3184.16,22300.57,2763.38,
1255,2,3,68.81,1,9,3,2208.59,12120.77,799.46,
1256,2,4,44.08,2,1,3,2208.59,12120.77,799.46,
1257,2,2,42.69,1,4,1,4134.67,9127.39,1961.72,
1258,2,2,36.6,4,6,3,3280.48,19315.89,1300.58,
1259,2,1,37.17,0,3,4,8617.7,23610.2,3314.1,
1260,2,1,28.88,0,7,4,5008.52,30031.57,1341.59,
1261,2,2,31.17,1,3,4,4711.3,19715.99,2231.81,
1262,2,1,47.94,0,1,1,4711.3,19715.99,2231.81,
1263,2,2,46.34,1,6,1,4112.24,42339.04,4231.79,
1264,2,2,24.43,2,3,3,2449.67,8063.31,1188,
1265,2,2,42.04,0,3,4,3655.02,17120.85,743.38,
1266,2,2,61.54,1,7,4,5914.25,39930.19,1508.37,
1267,1,2,41.12,0,3,3,1175.24,10055.03,1108.87,
1268,1,2,39.6,2,8,4,7256.32,36230.87,3443.15,
1269,1,1,42.86,0,1,1,7256.32,36230.87,3443.15,
1270,2,1,27.33,0,1,1,7256.32,36230.87,3443.15,
1271,1,1,26.02,0,1,4,7256.32,36230.87,3443.15,
1272,2,2,32.91,1,7,3,1742.69,11305.44,807.24,
1273,2,4,67.73,2,9,1,4386.46,34212.62,1967.8,
1274,2,2,33.73,0,5,3,878.83,13341.57,2119.25,
1275,2,2,40.82,1,8,1,4044.13,39492.08,2581.39,
1276,2,2,28.26,2,5,3,827.92,15904.95,1238.02,
1277,1,1,30.89,0,4,1,11507.34,25509,2491.63,
1278,2,1,34.17,0,1,4,11507.34,25509,2491.63,
1279,1,4,45.9,2,8,4,7324.41,44593.19,1223.36,
1280,1,2,40.13,1,6,4,5881.37,27942.56,3141.79,
1281,2,4,45,1,2,3,1028.09,11775.33,258.99,
1282,2,1,26.01,0,7,1,4724.65,45037.37,2828.24,
1283,1,1,25.07,0,4,4,6778.03,3580.5,808.25,
1284,2,3,47.75,4,3,1,8560.33,28024.36,2801.79,
1285,1,4,65.27,0,9,2,2837.89,25070.65,2329.88,
1286,2,2,26.36,2,4,3,3296.64,13542.91,642.63,
1287,1,1,38.85,0,7,4,6858.71,34745.47,1504.15,
1288,2,2,67.74,2,9,1,3998.42,19169.64,1176.74,
1289,1,1,30.94,0,6,4,5371.14,31506.51,1827.28,
1290,1,2,25.58,1,3,4,8652.49,24485.09,466.86,
1291,1,2,39.23,1,5,4,2951.64,22628.96,2103.93,
1292,2,1,20.27,0,5,3,2400.83,18830.26,1262.76,
1293,1,2,28.14,1,1,4,2400.83,18830.26,1262.76,
1294,2,2,69.48,2,9,4,3464.41,14908.22,1375.13,
1295,2,2,36.87,1,3,1,4374.92,37520.14,1673.64,
1296,1,3,80.36,2,9,4,4639.27,14546.84,1026.08,
1297,1,2,26.42,1,4,4,7286.08,22451.48,1486.78,
1298,2,2,53.05,1,3,1,4863.22,43321.07,1767.95,
1299,2,2,42.89,2,5,4,2862.5,12956.54,2984.82,
1300,1,1,38.05,0,7,3,2579.67,11973.94,946.23,
1301,2,2,36.1,2,5,3,2456.04,16038.8,1423.61,
1302,2,3,42.51,0,7,3,885.67,18480.19,790.29,
1303,2,2,51.23,0,1,2,885.67,18480.19,790.29,
1304,2,2,23.8,2,1,4,885.67,18480.19,790.29,
1305,2,4,74.64,0,9,4,4023.53,14799.79,861.57,
1306,1,2,41.31,1,7,4,4859.65,20245.45,1454.96,
1307,2,4,46.82,2,1,1,4859.65,20245.45,1454.96,
1308,2,2,55.61,2,6,1,10515.46,16979.32,3705.84,
1309,1,2,35.14,2,1,2,10515.46,16979.32,3705.84,
1310,1,1,28.96,0,1,3,10515.46,16979.32,3705.84,
1311,1,4,40.54,0,4,2,9999.15,18063.6,3520.64,
1312,1,1,18.89,0,5,3,1243.35,17846.42,1202.16,
1313,1,4,45,2,8,4,8470.28,30007.18,2085.02,
1314,2,3,59.82,0,7,4,4769.24,14668.73,1272.98,
1315,2,1,20.6,0,1,4,4769.24,14668.73,1272.98,
1316,1,3,53.38,0,4,4,5002.56,18736.63,1265.24,
1317,1,3,55.66,1,6,3,545.99,17664.72,2268.11,
1318,1,1,19.65,0,7,4,5116.85,11316.87,658.89,
1319,1,1,21.92,0,3,4,4621.43,37156.53,1254.53,
1320,1,4,42.9,2,6,4,6923.47,21424.73,3224.38,
1321,2,2,21.9,0,4,3,3759.32,11549.93,971.75,
1322,2,2,32.65,1,7,3,963.42,12077.99,643.71,
1323,2,1,27.96,0,3,1,12046.91,33531.69,2988.97,
1324,2,2,61.97,2,3,3,1398.29,16269.35,901.3,
1325,2,3,49.96,1,7,3,3667.07,18527.27,727.43,
1326,1,1,30.37,0,4,3,4153.67,11923.82,321.53,
1327,2,2,36.18,1,4,1,7401.34,37223.55,2814.56,
1328,1,1,28.2,0,6,4,6421.37,21192.32,2502.32,
1329,1,2,61.73,1,1,1,6421.37,21192.32,2502.32,
1330,2,1,37.99,0,3,3,2938.03,6818.56,1341.96,
1331,2,4,42.87,0,7,3,1401.86,15778.27,680.93,
1332,2,4,45.61,4,3,4,5953.5,24966.09,3329.51,
1333,1,4,55.91,3,2,2,4602.42,30420.6,3057.58,
1334,1,2,28.83,1,5,3,2897.63,13882.44,1022.52,
1335,1,2,46.91,0,8,4,10486.98,44494.3,3132.39,
1336,2,1,37.01,0,6,2,12852.98,80809.61,4635.81,
1337,2,4,50.03,3,8,3,576.37,19640.62,944.8,
1338,1,2,32.17,2,4,1,11302.02,42491.95,2507.79,
1339,2,2,39.11,1,7,2,5037.78,3312.87,6594.14,
1340,2,3,53,1,5,4,5460.61,23704.15,1531.22,
1341,2,1,23.62,0,4,4,3671.14,13011.45,2235.53,
1342,2,1,29.07,0,4,1,5099.3,12868.19,3497.84,
1343,2,2,21.81,2,3,3,2000.58,16844.21,1540.9,
1344,2,2,20.51,1,4,4,2770.44,26375.83,1833.18,
1345,2,1,27.18,0,4,3,891.37,4320.47,654.51,
1346,1,4,63.97,1,1,4,891.37,4320.47,654.51,
1347,2,2,50.2,0,4,3,2715.4,3236.78,1312.33,
1348,1,2,34.28,2,2,3,1461.41,17511.09,790.21,
1349,1,2,44.35,2,1,4,1461.41,17511.09,790.21,
1350,2,1,35.19,0,6,4,11840.76,31967.3,2347.47,
1351,2,1,28.85,0,6,4,6899.05,32943.98,1519.11,
1352,2,1,40,0,5,3,2265.78,11013.62,1541.95,
1353,2,2,46.73,1,8,2,6927.25,34780.62,4306.22,
1354,1,4,57.16,2,4,1,7995.22,7869.72,2499.15,
1355,2,2,42.24,1,4,4,4096.09,3618.52,1501.56,
1356,1,4,35.86,1,7,3,549.05,11164.56,462.09,
1357,1,1,25.68,0,3,3,2546.86,20859.67,1308.94,
1358,1,2,34.28,2,4,3,2110.43,20979.26,570.6,
1359,1,1,29.69,0,5,2,15703.99,8854.45,6184.11,
1360,2,2,30.76,2,2,3,2227.6,3529.47,279.27,
1361,2,4,41.22,1,6,3,3069.22,30716.04,2572.44,
1362,1,1,35.26,0,8,1,9986.8,38341.29,3976.41,
1363,1,4,65.53,2,9,4,4052.06,17855.03,416.39,
1364,2,2,40,2,4,4,5664.92,25392.19,1906.93,
1365,2,4,45.97,2,7,4,2457.8,19999.87,1710.44,
1366,2,1,41.88,0,4,3,2403.81,19962.73,874.94,
1367,1,2,45.79,0,1,3,2403.81,19962.73,874.94,
1368,2,2,20.75,0,2,4,1567.4,21150.41,1481.68,
1369,2,2,41.53,2,7,4,2431.75,19951.37,2462.8,
1370,2,1,35.74,0,5,4,6702.17,23538.95,627.38,
1371,1,3,51.84,2,7,4,5855.55,11432.77,1122.14,
1372,1,2,52.67,2,2,3,2361.09,16397.3,866.98,
1373,2,2,32.65,1,7,1,8032.1,27765.1,3346.63,
1374,1,1,31.92,0,2,4,3704.32,36474.71,1171.03,
1375,2,2,26.26,0,7,1,7947.07,19411.08,2182.03,
1376,1,2,41.59,0,4,3,2343.04,16920.7,797.4,
1377,1,2,25.53,3,5,3,1721.81,21312.01,1783.63,
1378,1,1,27.99,0,5,1,8246.85,16293.02,3837.06,
1379,2,2,25.69,1,5,3,1546.59,16762.57,1087.83,
1380,1,4,34.15,2,2,3,3283.57,8120.22,485.87,
1381,2,3,68.59,1,9,1,2805.67,4519.43,218.95,
1382,1,1,27.82,0,7,4,5177.46,15525,1559.61,
1383,2,3,46.71,2,3,3,3088.58,9272.76,1268.3,
1384,1,1,20.27,0,6,4,9416.54,25545.07,2407.1,
1385,2,2,54.12,1,7,1,4070.71,17152.73,2795.78,
1386,2,2,25.05,3,5,2,14823.99,23619.03,2563.58,
1387,2,4,31.34,0,3,3,2204.62,20710.86,444.39,
1388,1,3,62.17,0,7,3,2825.59,17757.07,789.3,
1389,2,4,31.73,1,4,4,5923.34,35346.46,1443.78,
1390,1,2,40.01,0,8,4,7532.13,40187.45,1325.44,
1391,2,4,32.22,0,5,3,2214.3,15040.19,1661.76,
1392,1,2,46.09,1,8,1,9383.54,24872.83,5494.3,
1393,2,1,25.79,0,7,4,5207.45,7306.05,1015.11,
1394,1,1,24.16,0,3,4,5909.23,28863.17,1795.64,
1395,2,2,43.49,2,7,4,3420.4,20418.65,864.6,
1396,1,3,56.56,1,5,1,12063.23,46449.93,1415.64,
1397,2,2,39.94,1,8,4,7000.41,30259.99,2642.33,
1398,1,2,47.38,2,2,1,7922.83,35760.04,1891.21,
1399,2,2,44.5,0,1,3,7922.83,35760.04,1891.21,
1400,2,1,41.24,0,4,4,7741.66,22141.33,1176.3,
1401,1,2,24.85,0,5,3,1553.18,15905.34,2114.51,
1402,1,2,40.6,0,7,1,8809.75,42604.75,2485.59,
1403,2,1,46.28,0,5,4,4908.8,26326.4,2803.17,
1404,2,2,45.06,2,3,4,3604.14,18771.16,3599.94,
1405,1,2,23.18,0,3,4,5999.67,25847.5,2139.24,
1406,2,2,65.46,1,9,4,2858.91,16698.8,991.9,
1407,1,4,53.81,2,8,2,12279.7,65562.81,5440.17,
1408,1,2,52.67,2,4,3,1773.8,21901.63,226.06,
1409,1,1,23.96,0,7,2,9996.98,35205.13,4554.82,
1410,1,3,76.38,0,9,3,1499.91,9386.11,813.05,
1411,1,3,59.12,2,4,3,3866.29,16338.31,650.75,
1412,2,2,63.76,0,7,3,2497.02,12007.85,1277.28,
1413,2,2,30.4,2,4,3,2516.93,11561.95,926.16,
1414,2,1,31.56,0,3,3,2227.99,11547.22,972.88,
1415,1,2,22.8,2,7,1,7011.88,25184.4,1934.46,
1416,1,4,40.42,0,1,4,7011.88,25184.4,1934.46,
1417,1,3,44.5,3,6,1,9970.93,39465.6,5095.52,
1418,2,2,20.34,2,4,1,9172.96,14208.96,2495.88,
1419,2,3,40.35,2,4,3,2517,11980.3,227.15,
1420,1,2,46.01,3,5,3,3401,16260.53,898.83,
1421,2,2,49.89,0,5,4,5998.07,31137.86,1515.39,
1422,2,2,24.46,0,2,3,2708.75,10504.86,762.67,
1423,2,4,42.74,2,1,1,2708.75,10504.86,762.67,
1424,2,2,23.98,1,3,4,5103.78,24085.75,2005.06,
1425,1,1,29.6,0,4,3,2730.59,14325.23,828.91,
1426,2,1,18.82,0,4,1,5643.86,6320.84,2526.57,
1427,1,4,33.82,2,6,3,2327.28,16965.04,901.36,
1428,1,1,35.57,0,3,3,1402.36,17395.07,735.54,
