index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision
26,F,divorced,30.81,3,finance,tertiary,8656.88,15072.42,2290.34,None
219.894535,M,single,26.356109,0.00089,legal,tertiary,11032.806103,48774.502178,2379.686912,B
375.983993,F,single,26.487604,0,IT,tertiary,9372.561591,15531.431888,2717.335761,B
319.981469,M,single,24.607603,0,legal,tertiary,5071.336197,25321.929075,2097.407969,B
391.232322,M,single,27.405908,0,IT,tertiary,8003.002209,13709.321731,1925.369684,B
250.414337,F,married,54.51363,1.610657,manuf,tertiary,7480.368579,20089.444075,1463.21934,A
377.845191,M,single,26.047564,0,legal,tertiary,9698.57753,27543.75679,2566.432137,B
398,M,married,44.59,2,education,professional,6724.33,30160.66,3153.15,None
408.385023,M,married,45.077085,2,manuf,secondary,3327.579437,10557.693101,983.081003,A
480.637822,M,married,24.05963,1.90667,IT,secondary,1393.842547,22547.614408,1927.398658,None
733,F,married,40.29,0,government,tertiary,6680,9360.44,1524.87,None
664,M,single,27.89,0,legal,professional,14736.21,34852.12,6082.29,None
275.748796,F,married,49.712997,1.654501,legal,tertiary,3183.616773,27129.591995,1702.35722,A
415,F,divorced,51.41,1,IT,secondary,3434.82,17621.82,1209.87,None
4,F,married,35.71,0,education,postgrad,3214.93,15423.24,1996.09,None
908.980423,F,married,55.681062,1.012227,government,tertiary,3476.438077,21154.329441,992.151795,A
599,F,single,37.35,0,manuf,secondary,2368.34,6049.24,1076.91,None
890,M,single,26.91,0,government,secondary,1522.26,10931.53,1162.29,None
620,M,single,20.93,0,government,postgrad,9983.88,24035.64,2787.52,None
824.756005,F,married,36.570698,1.126678,manuf,secondary,2737.454943,11587.812852,618.142554,A
663.758364,F,married,35.532089,1.389829,legal,postgrad,8073.988868,40673.152586,2883.201135,A
382.379121,M,single,23.933929,0,IT,secondary,3528.075077,10887.876196,1430.456479,B
640,M,divorced,25.17,2,finance,tertiary,5477.83,22224.64,2056.67,None
315.538095,M,married,45.720524,0,IT,secondary,1691.420702,14582.20854,1205.38675,None
250.459099,F,single,24.101042,0,legal,tertiary,12631.620593,17679.309888,3313.974565,B
217,F,single,42.45,0,education,postgrad,3206.45,32625.71,2199.25,None
203,M,married,43.13,0,government,postgrad,8045.89,21474.17,1800.08,None
341.519851,M,single,22.126023,0,legal,tertiary,6067.338747,26138.678735,2203.896329,B
144,M,married,38.09,1,finance,postgrad,10279.43,14525.43,3731.24,None
357.469111,M,single,27.038825,0.44041,legal,tertiary,7098.112239,26835.686479,4784.150673,B
489.522683,F,married,54.289122,2,IT,tertiary,5916.529581,30328.140315,879.386015,A
454,M,divorced,41.15,0,finance,secondary,738.95,15779.52,1382.27,None
584.348367,M,single,26.125083,0,legal,tertiary,11046.524387,29142.467999,2488.790793,B
511.356927,F,single,23.245631,0,government,secondary,2427.571793,16646.367757,460.501326,B
423.457194,M,single,27.734381,0,IT,tertiary,9473.353888,14573.49202,2104.688579,B
835,F,married,29.04,0,IT,tertiary,9620.29,27409.37,2176.26,A
366.773935,F,married,51.820685,1.386058,legal,tertiary,3412.646009,27040.199537,1219.507015,A
426,M,single,45.81,0,IT,secondary,1743.26,14885.43,1206.65,None
255.747368,M,single,24.01679,0,manuf,tertiary,3923.306216,24340.424389,1997.778346,B
284.903943,M,single,21.438002,0.294634,legal,tertiary,6669.120243,27008.023147,2857.977924,B
679.471693,M,married,44.193967,0.125889,manuf,tertiary,5809.209754,35910.187743,1528.776152,None
333.750436,M,single,25.537066,0.574986,legal,tertiary,5803.674627,26557.308897,2568.422322,B
535,F,widowed,81.65,1,retired,tertiary,3500,23900.27,1053.77,None
590.850996,F,single,24.489403,0,government,secondary,4782.369565,17419.823091,2041.544009,B
481.260764,F,single,27.418635,0,IT,tertiary,9160.662198,14258.01979,2176.909011,B
782,M,single,25.83,0,finance,professional,10777.86,18021.58,6514.19,None
764.630176,F,married,36.903302,0.96818,construct,secondary,9011.726423,16576.733103,1924.53385,A
649.156523,M,single,25.158122,0,legal,tertiary,10759.260962,28077.642337,2340.144584,B
663.189306,F,married,40.052727,2,finance,tertiary,7602.032375,37346.064462,3419.474591,A
277,F,single,35.89,0,manuf,tertiary,2212.73,11873.57,1080.16,None
317.799983,M,single,22.708524,0.041745,legal,tertiary,6963.271975,26436.158484,2401.777018,B
547.343036,M,single,20.710417,0,manuf,tertiary,4061.69156,23406.341845,1618.663211,B
813.526896,F,single,27.57999,0,government,secondary,2950.726559,18776.832209,725.51071,B
492.614695,F,married,44.532427,1.642308,construct,secondary,8962.198094,15708.160897,1715.635381,A
625.154012,F,married,38.814875,0,IT,tertiary,7940.028097,32772.817225,2287.972944,None
608,F,married,39.04,0,IT,tertiary,8156.1,33611.17,1846.41,None
475.443097,M,single,23.759545,0,IT,secondary,3482.216746,10877.252596,1460.442086,B
976,M,married,20.06,2,IT,postgrad,14649.94,41026.37,1215.07,A
369,F,single,26.23,0,manuf,tertiary,4951.78,26957.78,761.54,None
338.442287,F,single,21.945668,0,government,tertiary,7196.00478,26640.128572,2250.126803,B
944.732632,F,single,23.611239,0,government,tertiary,9212.553917,26020.547221,2508.126792,B
381.009375,F,single,26.858491,0,IT,tertiary,8832.396903,15730.763486,2761.428942,B
606.205202,F,married,36.247725,2,manuf,secondary,2662.269106,11809.193951,284.052773,A
509.304442,F,married,36.787611,2.590136,manuf,secondary,2845.103726,12414.608376,1169.10144,A
790,F,divorced,70.67,1,retired,tertiary,3320.92,14239.21,984.07,None
299.965691,F,married,50.378578,1,IT,tertiary,625.250826,23061.19475,1941.166497,A
842,F,single,24.08,0,finance,secondary,660.22,24755.34,1077.46,None
456.646242,M,married,34.041053,1.206447,manuf,secondary,4103.680901,8363.476627,1531.535222,A
879.178866,F,single,41.119,0.105444,finance,tertiary,7166.64521,22944.646009,1890.666861,None
742,F,married,45.32,2,finance,secondary,1369.85,17973.6,1442.15,None
766,M,single,26.81,0,legal,tertiary,5297.12,29895.86,2482.71,B
560.766528,M,married,42.972598,1,manuf,secondary,1271.893125,9173.348123,451.691673,A
499.187731,M,single,22.707125,0,legal,tertiary,6601.88914,26175.287962,2360.061099,B
562.29477,F,married,36.778584,1.791508,finance,tertiary,7128.131323,26357.864637,1833.654761,A
273.970002,F,married,51.659604,0.67353,finance,secondary,2171.709126,16022.318698,1217.774284,A
232.913228,M,single,24.434397,0,manuf,tertiary,6237.186893,22828.947043,2431.566186,B
125,M,married,37.51,1,finance,secondary,1450.11,15996.83,735.94,None
769.690587,M,married,22.898991,1.63252,manuf,secondary,1179.990371,8994.397526,1729.797043,A
405.878858,M,single,25.000459,0,IT,secondary,3680.459387,10951.442527,1343.640618,B
225.76459,F,married,32.074424,2,manuf,secondary,3297.747187,11069.646678,1297.866503,A
383.541675,F,single,24.657418,1.954533,legal,tertiary,8432.407886,19482.956582,2446.234857,B
134.848902,M,single,27.569162,0.092917,legal,tertiary,9685.798906,47239.011473,3088.678418,B
639.550097,M,married,28.863782,2,manuf,secondary,3556.917889,8708.717762,1761.25441,A
643.213839,F,married,40.106295,2,manuf,secondary,2659.819513,11946.842136,337.339566,A
784,M,married,36.61,2,legal,postgrad,13452.37,38738.27,4325.51,A
793.122578,F,married,42.148813,1.313612,IT,secondary,1223.87967,22763.061189,1719.934717,A
704.984898,F,single,24.150675,0,government,secondary,4869.025272,17463.373635,3015.164379,B
77.167384,F,married,49.24717,1,retired,tertiary,3889.694597,13576.326646,1165.5004,None
428.29865,F,single,26.911809,0,IT,tertiary,8942.406294,15374.133235,2688.124454,B
776.612373,M,single,24.073668,0.025091,legal,tertiary,11313.176423,34857.741927,2043.223467,B
139,M,single,21.62,0,finance,tertiary,6052.6,26303.88,2001.31,B
853,F,married,51.65,0,manuf,professional,8948.02,15226.9,1718.37,None
64.10301,F,married,30.404976,3.891294,manuf,tertiary,4853.661167,19148.645491,2069.700096,A
298.335628,F,married,52.065078,0.706873,construct,secondary,8259.844339,13953.501538,2404.235469,A
556.06518,F,married,34.030087,1.536603,manuf,secondary,1174.358512,12048.215672,981.077999,None
337.536358,F,married,44.725301,1.490888,finance,tertiary,5371.806956,35587.471159,2075.611233,A
183.055213,M,single,21.658598,0.017317,legal,tertiary,5994.127256,26335.981934,2145.174952,B
80.051801,M,single,26.650442,0.264322,legal,tertiary,8522.926984,45121.973387,3473.887341,B
215.096556,F,married,33.607378,0.747603,manuf,secondary,1503.607311,11970.548594,899.122866,A
319,M,single,24.41,0,construct,tertiary,7485.82,21420.86,2433.15,None
334,F,married,50.11,1,finance,secondary,843.07,16185.91,445.06,A
741.291437,M,single,37.567374,0,manuf,tertiary,3106.20801,35593.440787,1758.904682,None
579,F,married,40.02,0,manuf,secondary,3157.55,12058.29,281.39,None
267.352683,F,single,25.158538,0,legal,tertiary,12644.368472,17633.462475,3382.323207,B
552.419429,F,married,36.089575,1.889932,government,secondary,2437.095845,20655.727912,1548.606468,A
512,F,married,33.64,0,education,tertiary,3473.84,19627.13,206.98,None
472,M,widowed,58.66,0,government,tertiary,5006.93,10404.44,1448.95,None
663.975491,F,single,27.160626,0,government,secondary,4242.943009,19423.927636,721.87704,B
233.679947,F,single,23.394122,0,legal,tertiary,9400.784271,16054.903654,2674.777452,B
215,F,married,29.22,3,finance,postgrad,11316.8,34265.83,3322.55,None
500,F,single,25.05,0,finance,secondary,2569.11,18864.38,724.63,None
949,F,single,22.37,0,manuf,secondary,3095.72,11810.51,550.17,None
543.745398,F,single,22.270973,1.904083,legal,tertiary,7000.793999,20134.541509,2689.589429,B
864.202445,M,single,24.003081,0,legal,tertiary,10899.429398,28314.754001,2318.64553,B
501.711074,M,single,25.793362,0.133146,legal,tertiary,6769.281363,25646.935464,2440.74758,B
918,F,widowed,68.85,3,retired,tertiary,2869.38,14723.89,994.85,None
434.637682,M,single,21.98784,0.285476,legal,tertiary,7122.633756,26805.933386,2538.475275,B
278.077578,M,single,22.173557,0.020152,legal,tertiary,5977.755997,26400.106655,2322.312766,B
426.103654,M,single,27.327356,0,legal,tertiary,10043.65052,26721.085003,4369.0887,B
419,F,married,40.15,1,government,postgrad,7538.49,4638.31,1880.18,None
221,F,married,64.08,0,government,tertiary,3532.75,24530.75,1575.74,None
455,F,married,51.92,1,education,postgrad,4892.6,25482.14,2894.78,A
273.932677,M,single,24.517776,0,legal,tertiary,5061.65663,25278.256325,2055.921263,B
771.447915,F,single,27.075855,0,government,secondary,3343.266461,18485.91517,490.332092,B
382.48339,F,married,56.020495,1,retired,tertiary,3419.677525,28687.153489,1175.245592,None
258,F,single,28.32,0,finance,postgrad,9067.76,40767.69,3553.09,None
387.07457,M,single,22.237605,0,IT,secondary,3327.410852,10936.519036,1207.371151,B
357.273438,M,married,47.637547,0.399104,legal,postgrad,8569.250399,42868.489877,2377.858519,A
521.060293,M,married,42.720231,0.751464,manuf,tertiary,6377.320348,20122.201796,1534.338786,None
485,F,single,20.28,0,legal,tertiary,6781.92,21991.83,2884,B
504.872587,M,married,39.342404,1.331194,manuf,secondary,2543.357289,18543.968671,1016.766713,A
602.294358,F,married,29.771354,1.697728,IT,tertiary,7011.936359,26202.795007,2371.308715,A
97,M,divorced,43.1,1,IT,secondary,2440.21,19562.72,1236.97,None
583,F,divorced,28.05,3,government,postgrad,7708.39,19249.76,2485.03,B
748.482323,M,married,36.327492,2.092883,legal,postgrad,13926.496436,40711.429317,2311.910766,A
754,F,single,45.32,0,education,tertiary,5814.55,30931.06,1411.33,None
332.35357,M,married,55.793775,2,finance,secondary,2997.834895,7841.382463,1195.137664,None
825,F,single,27.95,0,government,postgrad,7847.95,27513.68,2731.16,B
188,M,single,27.85,0,finance,secondary,2509.43,21737.39,1027.04,None
644.860046,F,married,43.140566,0.332719,construct,secondary,8975.507094,14569.78524,1699.26295,A
438.976795,F,single,20.50102,0.667868,government,secondary,5041.416226,20217.137483,745.822356,B
378.190977,M,single,24.477432,0.282371,legal,tertiary,6940.444298,26560.172273,2364.48775,B
13,M,married,22.81,0,finance,postgrad,5167.35,19008.33,1141.05,None
602.451253,F,married,49.07393,0.920655,manuf,secondary,2770.86508,12424.627716,843.771699,A
525.535871,M,single,22.460247,0,legal,tertiary,6053.238954,25949.785555,2323.765589,B
642.129405,F,married,42.429949,1.69283,construct,secondary,9106.659942,15108.947503,1810.786828,A
495.42911,F,married,42.892387,0.269564,finance,secondary,971.970074,15970.126549,572.710816,A
265.60058,F,single,26.261621,0,IT,tertiary,10580.439908,17019.18034,3205.019898,B
654.233658,M,married,37.389819,2.041779,legal,postgrad,9053.148263,45604.663917,4723.143083,A
523.000939,M,single,25.772985,0,legal,tertiary,11114.577876,44705.050794,2631.857402,B
881.526296,F,married,41.743133,1.64316,manuf,secondary,2847.999895,18439.431629,1268.453307,A
294.398069,F,married,64.982515,2.547086,manuf,tertiary,3351.840664,19701.5253,1435.971152,A
214.112334,F,married,55.427399,1.228624,construct,secondary,8205.917148,14014.563573,2350.166902,A
243.10723,F,married,39.324896,3,retired,secondary,1774.192925,20693.719122,1482.537885,None
536.184648,M,single,25.273884,0,legal,tertiary,10708.072219,41471.523231,2119.585496,B
382.371945,M,married,45.455725,0.814471,legal,postgrad,8270.211079,42853.72734,2433.859379,A
639.815356,F,married,45.309159,0.834918,IT,tertiary,3030.535141,25898.171873,2670.627249,None
832.22597,F,married,40.278368,0.987187,finance,tertiary,6511.012044,36179.888205,1731.820113,A
625,F,divorced,30.45,1,IT,tertiary,5358.98,22221.96,2416.88,None
633,F,divorced,64.73,1,government,professional,12942.22,54919.07,1174.71,None
965.269514,F,married,30.780806,0.455068,government,secondary,2673.441094,20687.972272,1591.128113,A
832,M,single,29.76,0,finance,secondary,2995.17,17383.45,1861.02,None
892,F,married,32.67,2,manuf,tertiary,4974.5,25767.69,612.52,None
981,F,married,40.03,1,manuf,postgrad,11411.53,24844.95,1173.63,None
745,M,single,27.18,0,manuf,secondary,2047.22,13802.91,795.24,None
823,M,married,39.8,1,legal,tertiary,6496.27,29977.98,2885.32,None
305.843696,M,single,25.60798,0.453684,legal,tertiary,6718.158082,27640.443102,2920.793486,B
927.945168,M,married,35.942691,1.767713,legal,postgrad,9455.869821,45928.850053,4681.048463,A
601.7538,F,married,48.477354,1.067214,manuf,secondary,2768.880545,12421.462022,870.924537,A
837,F,married,65.91,0,retired,secondary,1432.13,14981.29,701.59,None
690.789315,M,married,38.776208,2,legal,postgrad,8439.624276,64063.702634,5582.318773,A
228.503069,F,married,31.13565,2,manuf,tertiary,3490.805858,11059.123335,1761.64331,A
69.041393,M,single,22.549418,0,manuf,tertiary,5158.780742,23833.991526,1673.948816,B
375.160894,F,single,19.979554,0.098321,government,secondary,4827.739791,20984.375525,893.200941,B
858.780628,M,married,46.199682,0.165267,construct,tertiary,8906.899195,12109.514669,1502.601095,None
576.196241,F,single,26.597314,2.962881,legal,tertiary,7301.168296,19464.310245,2515.775129,B
568.59032,F,married,58.321533,2.292761,manuf,secondary,3146.528662,12541.418573,845.837007,A
335.038795,M,married,47.871625,0.929427,manuf,secondary,3123.880677,8944.651262,864.412857,A
289.388506,F,married,41.271422,1.306839,manuf,tertiary,7696.130761,20353.654494,1412.094872,A
611.352007,F,married,48.230109,2.379376,finance,secondary,2070.625886,15968.270345,1004.702904,A
229,F,divorced,63.93,0,medicine,professional,11960.26,61138.6,6896.69,None
317,F,single,43.1,0,construct,secondary,5382.84,21458.64,1585.45,None
435.253536,F,single,25.120616,1.865309,manuf,tertiary,6997.023982,21463.869592,2583.546685,B
395,M,single,25.99,0,education,professional,11239.19,55977.79,4318.37,None
525.065587,M,single,25.869725,0,legal,tertiary,11558.668281,45145.770477,2698.220198,B
193.557512,M,single,26.250983,0,IT,tertiary,8036.416064,11102.683117,1460.462493,B
898,M,married,60.44,0,government,tertiary,4455.39,20460.67,1324.95,None
530.371053,M,single,25.27522,0,legal,tertiary,10740.058672,41554.891479,2135.943241,B
425.641469,M,single,24.745056,0,legal,tertiary,5180.866704,25295.570161,2039.292376,B
788.603123,F,married,28.911071,1.202382,IT,tertiary,10492.201001,28791.838949,3726.30876,A
876.773733,F,married,36.574457,1.127104,construct,secondary,9120.212889,16904.276238,2249.976967,A
572.3156,M,married,35.670065,0.486821,manuf,secondary,3888.01918,8221.429234,1735.901367,A
310.119922,M,single,21.022832,0.332381,legal,tertiary,7307.442796,28013.267331,3188.618393,B
469.526058,F,married,41.202672,0.839952,IT,tertiary,6602.459173,27546.815052,1543.115451,A
374.942537,M,single,25.43062,0.511632,legal,tertiary,6875.091543,26767.403382,2486.812577,B
344.781691,F,married,40.079835,2.202063,manuf,secondary,2872.580322,19497.624484,1408.128564,A
358,M,married,48.96,0,construct,tertiary,9518.87,14494.98,1667.17,A
324.87219,F,married,51.049255,1.146502,IT,tertiary,3486.60962,24637.973614,967.937458,A
206.172768,F,married,41.492765,1.274668,manuf,tertiary,4789.687437,20074.855853,1192.176437,A
598,M,divorced,44.99,2,government,secondary,1028.85,9153.72,1082.24,None
462,F,single,44.57,0,manuf,secondary,1674.91,14522.72,488.82,None
371.472955,F,single,19.882946,0.090366,government,secondary,4821.745278,20884.433742,906.633312,B
386.993614,M,married,60.590214,1.971408,manuf,secondary,2164.342604,7881.799357,1181.877414,A
555,F,married,61.78,2,government,secondary,2573.98,12465.27,673.91,A
388.808285,M,married,64.580329,0.268788,government,tertiary,3142.610619,24136.116491,1587.569545,None
650,F,married,35.77,0,manuf,secondary,2861.86,12341.95,1379.41,A
303,F,widowed,53.6,1,education,tertiary,3337.16,28301.52,1257.7,None
673,M,married,26.59,0,legal,secondary,2464.51,20019.82,1554.69,None
414.625516,M,divorced,41.990218,0.53009,finance,secondary,1346.174666,15839.995779,1884.258968,None
827.826473,F,single,27.789072,0,government,secondary,2916.177776,18225.401929,415.99211,B
429.346543,F,single,26.379635,0,IT,tertiary,9578.28191,14814.351296,2266.974856,B
368,M,divorced,45.01,3,finance,tertiary,8859.35,15480.89,1845.23,None
426.069753,F,married,43.835868,2,manuf,tertiary,6917.127183,31539.603421,1914.577051,A
846.605191,F,married,41.422613,1.646329,manuf,secondary,2778.179226,18528.458545,1251.686929,A
708,F,married,20.13,1,IT,secondary,1427.85,19632.56,949.35,None
531.932708,M,single,28.206374,0.83552,legal,tertiary,5818.517876,26632.619576,2596.533518,B
403.357826,F,married,64.43578,2.042333,finance,secondary,1986.855767,15841.910414,1083.714776,A
581,M,single,18.86,0,manuf,tertiary,2863.63,19999.31,1954.86,None
282,F,single,43.63,0,education,secondary,1268.31,14855.89,684,None
511.532345,M,single,25.652362,0,legal,tertiary,11791.169538,48996.443512,2491.618044,B
575.422929,F,single,25.19253,0,government,tertiary,8913.023788,26029.59689,2686.453068,B
255.275398,F,single,21.48817,0.149488,government,secondary,4948.996788,20589.49509,988.18574,B
523.42175,F,single,27.220742,0.104863,government,secondary,4370.578162,17685.58913,1194.403782,B
732.722052,F,single,26.991166,0,government,secondary,4191.68575,18981.218838,808.851762,B
922,M,married,54.98,1,manuf,tertiary,4470.57,5062.34,1732.38,None
503.779143,F,married,39.679455,1.399282,manuf,secondary,2510.347253,11999.46397,552.596607,A
391.427857,F,married,48.878701,0.432541,legal,postgrad,8991.133507,39484.016574,2634.490938,A
909.221974,F,single,20.513085,0,medicine,tertiary,8342.244756,26272.02733,3698.589228,B
497.820924,F,married,41.537909,2.989893,finance,secondary,2041.129638,15902.563803,1033.591223,A
947,F,widowed,41.53,2,government,professional,9992.22,45693.93,3760.8,None
183.900949,F,married,51.891421,1.268677,construct,secondary,8000.669774,13997.082468,2373.554813,A
206.38035,F,married,36.334624,0.858914,IT,tertiary,6640.278953,27445.673231,1315.493801,A
258.964434,M,single,25.78708,0.000076,legal,tertiary,10358.917361,47427.347145,2394.956253,B
363.656357,F,married,47.627554,1.0018,manuf,tertiary,4985.57,10973.46,2729.26,A
130.587225,M,single,27.280266,0,legal,tertiary,10041.311266,28325.06734,3232.650441,B
977,F,single,21.5,0,government,secondary,1031.38,7913.75,886.57,None
201.792578,M,single,29.387403,0.688523,legal,tertiary,6742.410641,31630.555313,3057.885921,B
438.002654,M,single,22.519713,0,legal,tertiary,6058.641165,26019.92577,2333.032241,B
669,M,single,39.87,0,legal,tertiary,6993.92,18298.91,3138.53,None
510.807441,M,single,25.463019,0,legal,tertiary,6222.844254,25907.613347,2543.676938,B
406,M,divorced,47.06,1,finance,secondary,1257.84,19956.19,425.87,None
552.868438,M,single,27.442864,0.015334,legal,tertiary,5893.010729,28668.817749,2726.779051,B
33,M,single,20.91,0,medicine,postgrad,10622.85,25455.03,3927.36,None
573.778899,F,single,27.385471,0.000097,government,secondary,4295.709063,17750.730783,460.846642,B
707,F,widowed,72.76,3,retired,postgrad,3493.57,18993.73,1197.26,None
657,F,divorced,72.44,2,retired,tertiary,2137.24,12522.51,807.41,None
304.058852,M,single,21.826217,0,IT,secondary,3777.346212,10899.274545,1268.204092,B
405,F,single,22.22,0,government,postgrad,5636.37,25011.36,2535.67,None
722,F,married,39.69,2,legal,tertiary,2721.66,28354.99,1185.04,A
79.266614,M,single,29.698978,0.534788,legal,tertiary,10963.653693,32687.838763,2060.695365,B
10.736438,M,single,29.141142,0.036235,manuf,tertiary,11211.180394,32028.501388,3028.701911,B
272,F,widowed,65.63,2,retired,postgrad,4009.99,10476.27,509.94,None
642,F,divorced,69.45,2,retired,tertiary,2441.06,14987.41,331.35,None
299.143845,M,married,24.569988,0.822139,manuf,secondary,856.631426,9204.902853,1379.893044,A
351.369471,F,married,45.804517,3.455451,manuf,secondary,3330.659771,13220.7934,1887.909304,A
470.417607,M,single,24.12777,0.052876,legal,tertiary,11642.225751,33733.46228,2211.708253,B
847.57047,F,married,50.923473,0.607026,construct,secondary,8981.792805,14564.939056,1692.529191,A
710.846817,F,married,37.201269,1.665272,manuf,secondary,2655.558671,19390.715572,1377.962616,A
449,F,married,56.83,1,finance,secondary,2371.89,21955.26,1614.6,None
352.974027,M,single,26.980812,0,legal,tertiary,11198.070214,48480.514822,2580.235597,B
883,F,married,53.99,3,IT,secondary,1094.51,20597.15,956.35,None
468.867902,F,married,32.18696,1.955666,IT,tertiary,4989.871849,28256.382974,1900.660802,A
894.703159,M,single,27.959277,0,manuf,postgrad,12355.605347,39990.753641,2254.67093,None
366.505496,F,married,40.501414,1.874728,IT,tertiary,6152.811414,25869.228485,710.171824,A
993,F,married,22.13,1,IT,tertiary,3085.8,16657.99,1899.98,A
337.255669,F,single,22.752644,0.817548,government,secondary,4526.706914,20170.036722,930.925841,B
312.413994,M,single,22.353152,0,legal,tertiary,6589.252355,26185.567948,2332.085753,B
763.272906,F,married,27.768049,1.997068,IT,tertiary,10524.177137,29720.513466,4112.446159,A
216.103281,M,single,22.013007,0.03382,legal,tertiary,6003.044186,26365.775982,2072.181527,B
439.108708,F,married,38.144692,1.490662,IT,tertiary,6856.768521,27124.862872,1646.31906,A
60.966701,F,married,40.784956,3.864792,manuf,secondary,4547.856641,13804.568292,1628.30139,A
996,F,divorced,47.56,0,manuf,professional,11143.41,17825.67,3742.27,None
170.645614,M,single,27.100811,0.003976,legal,tertiary,9915.891091,46293.997895,2664.500002,B
209.992378,F,married,48.510714,2.116941,construct,secondary,8453.062023,14081.107591,1277.119507,A
296,F,widowed,85.5,1,retired,tertiary,2570.37,16876.54,400.03,None
314,F,married,49.66,1,IT,postgrad,7505.61,46430.14,2997.21,None
410.083987,F,married,36.752746,1.207975,IT,tertiary,9258.371957,30533.0545,3641.530933,A
856.424506,M,married,35.406446,1.999971,legal,postgrad,8927.216842,45446.21026,5316.151942,A
214,M,married,24.35,0,medicine,secondary,2600.58,17139.96,2255.63,A
479.546781,M,single,26.935396,0,legal,tertiary,10299.376653,28161.610577,2774.976349,B
